,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
27,2020-02-15,17:30 (19:30),Matchweek 26,Sat,Home,L,0,1,Liverpool,293,400,73.3,4651,2021,150,170,88.2,98,128,76.6,25,65,38.5,0,0.3,0.5,5,14,3,0,15,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Away,L,0,3,Wolves,529,627,84.4,8584,2693,250,279,89.6,210,233,90.1,40,65,61.5,0,0.4,0.4,6,34,6,0,30,Match Report
29,2020-02-28,20:00 (22:00),Matchweek 28,Fri,Home,W,1,0,Leicester City,288,389,74.0,5174,2026,133,158,84.2,107,131,81.7,37,69,53.6,1,0.4,0.4,7,16,7,3,14,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Sheffield Utd,465,585,79.5,8078,2707,226,251,90.0,173,201,86.1,53,98,54.1,0,0.9,1.0,7,18,5,2,17,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Home,L,0,3,Southampton,312,451,69.2,5369,1933,139,170,81.8,127,165,77.0,30,79,38.0,0,0.6,0.4,8,19,1,0,15,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,L,0,1,Everton,371,479,77.5,6188,2137,175,198,88.4,144,171,84.2,36,83,43.4,0,0.3,0.2,6,24,5,2,26,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,L,0,4,Arsenal,377,477,79.0,6282,2028,174,198,87.9,161,183,88.0,31,66,47.0,0,0.2,0.2,6,18,1,0,13,Match Report
34,2020-07-04,12:30 (13:30),Matchweek 33,Sat,Home,L,0,1,Brighton,540,641,84.2,9069,2867,256,277,92.4,223,250,89.2,38,62,61.3,0,0.6,0.6,11,42,8,1,33,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Away,L,1,2,Watford,440,538,81.8,7486,2615,211,247,85.4,179,205,87.3,37,61,60.7,1,1.1,0.4,7,31,7,1,35,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Home,L,0,4,West Ham,491,573,85.7,8417,2768,237,258,91.9,199,215,92.6,43,73,58.9,0,0.6,0.8,9,24,4,2,28,Match Report
37,2020-07-14,20:15 (21:15),Matchweek 36,Tue,Away,L,0,1,Chelsea,305,401,76.1,5110,2031,154,179,86.0,112,132,84.8,29,67,43.3,0,0.1,0.1,2,11,0,0,20,Match Report
38,2020-07-18,17:30 (18:30),Matchweek 37,Sat,Home,L,0,2,Burnley,290,386,75.1,5195,1989,129,145,89.0,105,118,89.0,42,93,45.2,0,0.2,0.1,4,13,0,0,7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,0,5,Manchester City,209,292,71.6,3669,1663,106,125,84.8,71,84,84.5,25,63,39.7,0,1.0,0.3,4,9,1,0,7,Match Report
40,,,,,,5-6-27,26,75,,14965,18869,79.3,243176,86314,7717,8664,89.1,5301,6196,85.6,1336,2696,49.6,18,27.6,23.6,304,913,210,32,863,
