,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-14,20:00 (22:00),Matchweek 26,Fri,Home,D,0,0,Leicester City,0,15,3,20.0,0.00,0.00,17.2,2,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Home,W,3,0,Norwich City,3,19,6,31.6,0.16,0.50,15.4,2,0,0,2.9,2.9,0.17,+0.1,+0.1,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Away,W,3,2,Tottenham,3,14,4,28.6,0.21,0.75,14.5,0,0,0,2.6,2.6,0.19,+0.4,+0.4,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,D,0,0,Brighton,0,11,1,9.1,0.00,0.00,20.6,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
31,2020-06-20,17:30 (18:30),Matchweek 30,Sat,Away,W,2,0,West Ham,2,10,6,60.0,0.20,0.33,18.1,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,W,1,0,Bournemouth,1,10,2,20.0,0.10,0.50,20.6,1,0,0,1.7,1.7,0.17,-0.7,-0.7,Match Report
33,2020-06-27,12:30 (13:30),Matchweek 32,Sat,Away,W,1,0,Aston Villa,1,9,2,22.2,0.11,0.50,15.7,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Match Report
34,2020-07-04,17:30 (18:30),Matchweek 33,Sat,Home,L,0,2,Arsenal,0,10,1,10.0,0.00,0.00,19.5,1,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,L,0,1,Sheffield Utd,0,6,1,16.7,0.00,0.00,21.7,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Home,W,3,0,Everton,3,13,6,46.2,0.15,0.33,17.6,0,1,1,2.6,1.8,0.14,+0.4,+0.2,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,D,1,1,Burnley,1,14,5,35.7,0.07,0.20,16.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
38,2020-07-20,20:15 (21:15),Matchweek 37,Mon,Home,W,2,0,Crystal Palace,2,11,5,45.5,0.18,0.40,13.8,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,0,2,Chelsea,0,5,1,20.0,0.00,0.00,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
40,,,,,,15-14-9,51,40,,49,457,142,31.1,0.10,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0,
