,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
11,2020-12-11,20:00 (22:00),Matchweek 12,Fri,Home,L,1,2,West Ham,1,12,6,50.0,0.00,0.00,17.7,0,1,1,1.6,0.8,0.06,-0.6,-0.8,Match Report
12,2020-12-16,18:00 (20:00),Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,5,25,10,40.0,0.20,0.50,16.7,0,0,0,2.7,2.7,0.11,+2.3,+2.3,Match Report
13,2020-12-20,16:30 (18:30),Matchweek 14,Sun,Away,L,2,6,Manchester Utd,2,17,4,23.5,0.12,0.50,13.9,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Match Report
14,2020-12-27,12:00 (14:00),Matchweek 15,Sun,Home,W,1,0,Burnley,1,10,3,30.0,0.00,0.00,21.1,0,1,1,1.9,1.1,0.11,-0.9,-1.1,Match Report
15,2020-12-29,18:00 (20:00),Matchweek 16,Tue,Away,W,5,0,West Brom,4,14,6,42.9,0.29,0.67,18.6,0,0,0,1.2,1.2,0.09,+2.8,+2.8,Match Report
16,2021-01-02,12:30 (14:30),Matchweek 17,Sat,Away,L,0,3,Tottenham,0,18,5,27.8,0.00,0.00,18.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report
17,2021-01-16,15:00 (17:00),Matchweek 19,Sat,Home,L,0,1,Brighton,0,7,2,28.6,0.00,0.00,18.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
18,2021-01-26,18:00 (20:00),Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,2,9,2,22.2,0.22,1.00,13.6,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Match Report
19,2021-01-31,14:00 (16:00),Matchweek 21,Sun,Away,W,3,1,Leicester City,3,8,6,75.0,0.38,0.50,13.3,0,0,0,2.1,2.1,0.27,+0.9,+0.9,Match Report
20,2021-02-03,19:30 (21:30),Matchweek 22,Wed,Home,L,1,2,Everton,1,16,7,43.8,0.06,0.14,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
21,2021-02-08,20:00 (22:00),Matchweek 23,Mon,Home,W,2,0,Crystal Palace,2,17,7,41.2,0.12,0.29,14.3,1,0,0,1.9,1.9,0.11,+0.1,+0.1,Match Report
22,2021-02-14,16:30 (18:30),Matchweek 24,Sun,Away,L,2,4,Arsenal,2,9,5,55.6,0.22,0.40,17.6,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Match Report
23,2021-02-19,20:00 (22:00),Matchweek 25,Fri,Away,L,0,1,Wolves,0,18,7,38.9,0.00,0.00,13.2,0,0,0,1.7,1.7,0.10,-1.7,-1.7,Match Report
24,2021-02-23,18:00 (20:00),Matchweek 18,Tue,Home,W,3,0,Southampton,3,11,7,63.6,0.27,0.43,16.2,1,0,0,1.3,1.3,0.12,+1.7,+1.7,Match Report
25,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2021-02-27,17:30 (19:30),Matchweek 26,Sat,Home,L,0,1,Aston Villa,0,13,3,23.1,0.00,0.00,18.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
28,2021-03-08,20:00 (22:00),Matchweek 27,Mon,Away,L,0,2,West Ham,0,17,2,11.8,0.00,0.00,18.4,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Match Report
29,2021-03-13,12:30 (14:30),Matchweek 28,Sat,Home,D,0,0,Chelsea,0,7,4,57.1,0.00,0.00,16.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
30,2021-03-19,20:00 (22:00),Matchweek 29,Fri,Away,W,2,1,Fulham,2,13,4,30.8,0.15,0.50,17.5,1,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report
31,2021-04-03,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Sheffield Utd,1,23,8,34.8,0.04,0.13,18.3,1,0,0,2.4,2.4,0.11,-1.4,-1.4,Match Report
32,2021-04-10,12:30 (13:30),Matchweek 31,Sat,Away,W,2,1,Manchester City,2,2,2,100.0,1.00,1.00,20.5,0,0,0,0.1,0.1,0.07,+1.9,+1.9,Match Report
33,2021-04-19,20:00 (21:00),Matchweek 32,Mon,Home,D,1,1,Liverpool,1,12,5,41.7,0.08,0.20,12.0,0,0,0,2.3,2.3,0.19,-1.3,-1.3,Match Report
34,2021-04-25,14:00 (15:00),Matchweek 33,Sun,Home,D,0,0,Manchester Utd,0,6,3,50.0,0.00,0.00,21.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
35,2021-05-01,15:00 (16:00),Matchweek 34,Sat,Away,L,0,2,Brighton,0,11,2,18.2,0.00,0.00,21.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
36,2021-05-08,12:30 (13:30),Matchweek 35,Sat,Home,W,3,1,Tottenham,3,16,7,43.8,0.19,0.43,15.0,0,0,0,2.5,2.5,0.16,+0.5,+0.5,Match Report
37,2021-05-15,12:30 (13:30),Matchweek 36,Sat,Away,W,4,0,Burnley,4,16,6,37.5,0.25,0.67,16.8,0,0,0,1.5,1.5,0.10,+2.5,+2.5,Match Report
38,2021-05-18,18:00 (19:00),Matchweek 37,Tue,Away,W,2,0,Southampton,2,15,7,46.7,0.13,0.29,18.8,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Match Report
39,2021-05-23,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,West Brom,3,16,8,50.0,0.13,0.25,18.9,1,1,1,2.3,1.5,0.09,+0.7,+0.5,Match Report
40,,,,,,18-5-15,62,54,,60,518,193,37.3,0.11,0.29,16.9,9,4,4,55.6,52.5,0.10,+4.4,+3.5,
