,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
31,2021-04-03,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Sheffield Utd,54,649,50,208,255,192,28,649,9,16,56.3,20,10,405,26,Match Report
32,2021-04-10,12:30 (13:30),Matchweek 31,Sat,Away,W,2,1,Manchester City,29,395,111,230,119,51,7,395,8,15,53.3,15,1,184,10,Match Report
33,2021-04-19,20:00 (21:00),Matchweek 32,Mon,Home,D,1,1,Liverpool,61,689,100,346,230,119,25,689,12,20,60.0,17,7,467,23,Match Report
34,2021-04-25,14:00 (15:00),Matchweek 33,Sun,Home,D,0,0,Manchester Utd,44,532,76,269,178,91,13,532,6,12,50.0,17,10,322,16,Match Report
35,2021-05-01,15:00 (16:00),Matchweek 34,Sat,Away,L,0,2,Brighton,58,619,70,218,270,140,12,619,14,21,66.7,19,4,415,35,Match Report
36,2021-05-08,12:30 (13:30),Matchweek 35,Sat,Home,W,3,1,Tottenham,53,616,63,225,228,167,29,616,8,15,53.3,17,8,374,33,Match Report
37,2021-05-15,12:30 (13:30),Matchweek 36,Sat,Away,W,4,0,Burnley,52,581,92,268,195,120,18,581,4,8,50.0,12,8,358,25,Match Report
38,2021-05-18,18:00 (19:00),Matchweek 37,Tue,Away,W,2,0,Southampton,49,548,75,241,220,91,17,548,7,17,41.2,13,13,311,23,Match Report
39,2021-05-23,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,West Brom,64,649,61,208,280,165,29,648,7,23,30.4,18,3,433,35,Match Report
40,,,,,,18-5-15,62,54,,57.3,24691,2750,9021,10282,5617,874,24687,318,563,56.5,667,319,16053,1166,
