,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,0,0,Newcastle Utd,0,7,0,0.0,0.00,,15.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Match Report
30,2020-03-07,17:30 (19:30),Matchweek 29,Sat,Home,D,1,1,Tottenham,1,21,7,33.3,0.05,0.14,15.6,2,0,0,3.0,3.0,0.15,-2.0,-2.0,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Away,L,0,5,Manchester City,0,1,0,0.0,0.00,,34.9,1,0,0,0.0,0.0,0.04,0.0,0.0,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,W,1,0,Watford,1,9,4,44.4,0.11,0.25,16.2,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Away,W,1,0,Crystal Palace,1,8,4,50.0,0.13,0.25,17.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report
34,2020-07-05,12:00 (13:00),Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,1,9,4,44.4,0.11,0.25,20.5,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,W,1,0,West Ham,1,8,4,50.0,0.13,0.25,13.3,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Away,D,1,1,Liverpool,1,6,2,33.3,0.17,0.50,14.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,D,1,1,Wolves,1,8,0,0.0,0.00,,16.6,0,1,1,1.9,1.1,0.14,-0.9,-1.1,Match Report
38,2020-07-18,17:30 (18:30),Matchweek 37,Sat,Away,W,2,0,Norwich City,1,23,8,34.8,0.04,0.13,19.3,2,0,0,1.8,1.8,0.08,-0.8,-0.8,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Brighton,1,13,1,7.7,0.08,1.00,13.1,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Match Report
40,,,,,,15-9-14,43,50,,41,384,124,32.3,0.10,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3,
