,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-02-29,17:30 (19:30),Matchweek 28,Sat,Home,W,3,0,Liverpool,3,14,5,35.7,0.21,0.60,17.4,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Crystal Palace,0,10,3,30.0,0.00,0.00,17.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
31,2020-06-20,12:30 (13:30),Matchweek 30,Sat,Home,D,1,1,Leicester City,1,8,4,50.0,0.13,0.25,15.3,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Away,L,0,1,Burnley,0,10,3,30.0,0.00,0.00,15.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Home,L,1,3,Southampton,0,8,0,0.0,0.00,,20.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
34,2020-07-04,20:00 (21:00),Matchweek 33,Sat,Away,L,0,3,Chelsea,0,7,3,42.9,0.00,0.00,21.8,2,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Home,W,2,1,Norwich City,2,9,4,44.4,0.22,0.50,13.2,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Home,W,2,1,Newcastle Utd,2,15,3,20.0,0.00,0.00,13.9,0,2,2,3.4,1.8,0.14,-1.4,-1.8,Match Report
37,2020-07-17,20:00 (21:00),Matchweek 36,Fri,Away,L,1,3,West Ham,1,14,3,21.4,0.07,0.33,14.9,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Home,L,0,4,Manchester City,0,2,0,0.0,0.00,,15.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,2,3,Arsenal,2,18,5,27.8,0.06,0.20,13.7,1,1,1,3.7,2.9,0.16,-1.7,-1.9,Match Report
40,,,,,,8-10-20,36,64,,35,416,112,26.9,0.07,0.25,17.3,18,7,8,48.9,42.6,0.10,-13.9,-14.6,
