,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Home,W,3,1,Aston Villa,70,747,24,84,361,318,40,747,11,25,44.0,7,15,551,45,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Away,D,2,2,Manchester City,45,646,145,401,215,38,5,646,15,20,75.0,16,10,445,9,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,79,903,32,109,443,357,27,903,12,17,70.6,18,10,720,46,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Away,D,2,2,Arsenal,45,532,109,247,198,91,17,531,7,16,43.8,12,14,324,26,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,4,0,Crystal Palace,64,792,49,156,475,165,23,792,9,14,64.3,18,10,596,46,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Away,L,1,2,Leicester City,56,649,75,169,302,189,25,649,7,16,43.8,21,14,420,46,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,1,Southampton,42,530,77,221,213,100,20,530,11,25,44.0,16,10,307,25,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Away,L,0,3,Brighton,52,707,92,281,290,142,17,707,12,19,63.2,9,15,478,14,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Watford,69,863,36,143,465,261,24,863,12,19,63.2,28,13,624,50,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,L,1,2,Liverpool,33,482,96,223,183,83,17,482,7,13,53.8,15,14,222,17,Match Report
