,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,L,1,2,Everton,9,2,7,77.8,0,2.9,+0.9,0,0,0,0,10,18,55.6,26,5,46.2,38.3,6,100.0,64.5,18,0,0.0,0,4.0,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,L,0,3,Leicester City,10,3,7,70.0,0,3.3,+0.3,0,0,0,0,9,21,42.9,22,2,50.0,36.4,10,100.0,64.3,8,0,0.0,0,6.2,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,D,1,1,Wolves,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,6,23,26.1,17,0,88.2,54.5,9,88.9,60.6,17,1,5.9,0,10.3,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Home,W,1,0,Chelsea,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,13,29,44.8,21,1,85.7,51.0,11,100.0,57.4,22,1,4.5,0,10.5,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,D,2,2,Everton,8,2,6,75.0,0,2.2,+0.2,0,0,0,0,6,15,40.0,18,4,61.1,42.5,5,80.0,51.6,17,0,0.0,0,6.0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Norwich City,4,0,4,100.0,1,2.2,+2.2,0,0,0,0,10,20,50.0,17,3,64.7,45.0,10,90.0,56.8,20,0,0.0,2,20.0,Match Report
25,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-16,16:30 (18:30),Matchweek 26,Sun,Away,L,0,4,Arsenal,7,4,3,42.9,0,3.5,-0.5,0,0,0,0,13,27,48.1,19,1,78.9,45.7,13,92.3,56.9,19,0,0.0,1,8.8,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,1,Crystal Palace,9,1,8,88.9,0,1.9,+0.9,0,0,0,0,8,21,38.1,29,9,41.4,34.0,11,81.8,53.6,13,0,0.0,3,16.4,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,0,0,Burnley,0,0,0,,1,0.0,0.0,0,0,0,0,6,24,25.0,30,3,63.3,42.5,6,83.3,54.2,11,0,0.0,1,8.5,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,W,1,0,Southampton,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,4,11,36.4,14,1,57.1,44.3,8,37.5,34.8,14,0,0.0,0,,Match Report
31,2020-06-21,14:00 (15:00),Matchweek 30,Sun,Home,W,3,0,Sheffield Utd,1,0,1,100.0,1,0.0,0.0,0,0,0,0,3,13,23.1,17,3,41.2,33.9,11,54.5,47.8,14,0,0.0,0,5.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,D,1,1,Aston Villa,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,9,28,32.1,31,9,58.1,38.5,11,90.9,61.5,34,4,11.8,0,5.7,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,W,4,1,Bournemouth,1,1,0,0.0,0,1.0,0.0,0,0,0,0,11,31,35.5,25,0,84.0,53.7,10,100.0,72.8,13,0,0.0,0,,Match Report
34,2020-07-05,14:15 (15:15),Matchweek 33,Sun,Home,D,2,2,West Ham,7,2,5,71.4,0,2.3,+0.3,0,0,0,0,3,8,37.5,19,9,26.3,30.4,4,75.0,55.8,17,1,5.9,1,11.3,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,L,0,5,Manchester City,9,5,5,44.4,0,3.5,-0.5,0,0,0,0,4,19,21.1,25,5,44.0,37.6,9,88.9,58.9,16,2,12.5,0,5.0,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Away,L,1,2,Watford,5,2,3,100.0,0,2.5,+0.5,2,2,0,0,6,17,35.3,21,2,66.7,45.4,4,75.0,60.3,15,1,6.7,0,4.0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,L,1,3,Tottenham,5,3,2,40.0,0,2.4,-0.6,0,0,0,0,1,5,20.0,13,3,23.1,30.8,5,40.0,38.6,9,0,0.0,1,47.0,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,D,0,0,Brighton,3,0,3,100.0,1,1.0,+1.0,0,0,0,0,9,14,64.3,16,4,50.0,39.1,6,100.0,62.8,19,0,0.0,0,,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Liverpool,6,3,3,50.0,0,2.1,-0.9,0,0,0,0,6,27,22.2,23,2,82.6,46.5,8,100.0,65.0,12,1,8.3,2,19.5,Match Report
40,,,,,,11-11-16,38,58,,195,58,139,71.3,11,63.0,+7.0,2,2,0,0,288,750,38.4,749,119,60.7,42.0,340,86.8,58.3,686,21,3.1,26,11.6,
