,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,0,7,4,57.1,0.00,0.00,16.9,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,3,19,11,57.9,0.11,0.18,18.3,2,1,1,2.6,1.9,0.11,+0.4,+0.1,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Home,W,5,0,Burnley,5,18,6,33.3,0.22,0.67,19.6,1,1,1,2.4,1.6,0.09,+2.6,+2.4,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,1,11,2,18.2,0.09,0.50,21.4,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,3,13,4,30.8,0.15,0.50,17.5,0,1,1,2.4,1.6,0.13,+0.6,+0.4,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Away,L,0,1,Southampton,0,26,6,23.1,0.00,0.00,15.4,1,0,0,3.2,3.2,0.13,-3.2,-3.2,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,4,23,9,39.1,0.17,0.44,15.9,1,0,0,2.8,2.8,0.12,+1.2,+1.2,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Away,W,5,0,Brighton,5,26,8,30.8,0.19,0.63,13.6,1,0,0,4.4,4.4,0.18,+0.6,+0.6,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,2,8,4,50.0,0.25,0.50,15.8,1,0,0,0.7,0.7,0.08,+1.3,+1.3,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Away,W,4,0,Watford,4,25,9,36.0,0.16,0.44,17.4,1,0,1,3.3,2.4,0.10,+0.7,+1.6,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,5,31,9,29.0,0.16,0.56,15.3,0,0,0,3.2,3.2,0.11,+1.8,+1.8,Match Report
40,,,,,,26-3-9,102,35,,100,735,250,34.0,0.13,0.38,16.4,27,6,11,92.0,83.6,0.12,+8.0,+10.4,
