,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Away,L,1,2,Chelsea,0,5,3,60.0,0.00,0.00,17.7,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,L,2,3,Wolves,2,13,5,38.5,0.15,0.40,14.6,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Match Report
30,2020-03-07,17:30 (19:30),Matchweek 29,Sat,Away,D,1,1,Burnley,1,12,1,8.3,0.00,0.00,24.9,0,1,1,1.2,0.4,0.03,-0.2,-0.4,Match Report
31,2020-06-19,20:15 (21:15),Matchweek 30,Fri,Home,D,1,1,Manchester Utd,1,10,3,30.0,0.10,0.33,21.8,2,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report
32,2020-06-23,20:15 (21:15),Matchweek 31,Tue,Home,W,2,0,West Ham,1,15,4,26.7,0.07,0.25,18.2,0,0,0,2.3,2.3,0.15,-1.3,-1.3,Match Report
33,2020-07-02,18:00 (19:00),Matchweek 32,Thu,Away,L,1,3,Sheffield Utd,1,9,2,22.2,0.11,0.50,15.8,2,0,0,1.1,1.1,0.12,-0.1,-0.1,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Home,W,1,0,Everton,0,12,2,16.7,0.00,0.00,23.0,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,0,0,Bournemouth,0,9,0,0.0,0.00,,18.4,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
36,2020-07-12,16:30 (17:30),Matchweek 35,Sun,Home,W,2,1,Arsenal,2,15,9,60.0,0.13,0.22,18.5,0,0,0,2.0,2.0,0.14,0.0,0.0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,W,3,1,Newcastle Utd,3,8,5,62.5,0.38,0.60,15.6,0,0,0,1.5,1.5,0.24,+1.5,+1.5,Match Report
38,2020-07-19,16:00 (17:00),Matchweek 37,Sun,Home,W,3,0,Leicester City,2,7,3,42.9,0.29,0.67,17.4,0,0,0,0.8,0.8,0.11,+1.2,+1.2,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,D,1,1,Crystal Palace,1,7,2,28.6,0.14,0.50,19.7,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Match Report
40,,,,,,16-11-11,61,47,,56,440,154,35.0,0.12,0.34,18.4,21,3,4,47.9,44.7,0.10,+8.1,+8.3,
