,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Performance | GA,Performance | GA90,Performance | SoTA,Performance | Saves,Performance | Save%,W,D,L,Performance | CS,Performance | CS%,Penalty Kicks | PKA,Penalty Kicks | PKsv,Penalty Kicks | PKm,Penalty Kicks | Save%,90s,GA,PKA,Goals | FK,Goals | CK,Goals | OG,Expected | PSxG,Expected | PSxG/SoT,Expected | PSxG+/-,Expected | /90,Launched | Cmp,Launched | Att,Launched | Cmp%,Passes | Att,Passes | Thr,Passes | Launch%,Passes | AvgLen,Goal Kicks | Att,Goal Kicks | Launch%,Goal Kicks | AvgLen,Crosses | Opp,Crosses | Stp,Crosses | Stp%,Sweeper | #OPA,Sweeper | #OPA/90,Sweeper | AvgDist,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
4,Adrian,ESP,GK,Liverpool,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,18.0,9.0,50.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,6.8,0.38,-2.2,-0.72,11.0,28.0,39.3,77.0,19.0,31.2,31.3,22.0,18.2,21.1,35.0,0.0,0.0,6.0,2.0,17.0,78,100,78.0,1796,1138,24,24,100.0,33,34,97.1,20,40,50.0,0,0.0,0.0,0.0,0,0,0,0,0,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,110,99,110,0,0,0,110,0,0,0.0,0,0,46,0,90,7.9,90.0,3,0,0.0,27,1.33,6,9,-3,-1.0,-1.83,7.1,4.6,2.4,0.81,0.17,0,0,0,0,0,0,0,0,0,2,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
13,Runar Alex Runarsson,ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.5,0.0,3.0,0.0,10.0,2.0,30.0,28.2,1.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,7,11,63.6,100,32,3,3,100.0,4,4,100.0,0,4,0.0,0,0.0,0.0,0.0,0,0,0,0,0,11,8,3,2,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,13,10,12,1,0,0,13,0,0,0.0,0,0,6,0,16,0.5,0.0,0,1,16.0,21,0.0,0,0,0,0.0,-0.42,0.2,0.4,-0.3,-1.36,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,Alisson,BRA,GK,Liverpool,27,1992,33,33,2970,33.0,1,0,1,0,0,1,0,0.03,0.0,0.03,0.03,0.03,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,32.0,0.97,115.0,82.0,75.7,18.0,8.0,7.0,10.0,30.3,4.0,1.0,3.0,20.0,33.0,32.0,4.0,1.0,4.0,0.0,35.0,0.27,3.0,0.09,74.0,194.0,38.1,980.0,165.0,14.9,25.7,173.0,27.7,30.4,341.0,20.0,5.9,87.0,2.64,18.6,1000,1157,86.4,22600,14029,223,225,99.1,578,590,98.0,191,330,57.9,0,0.0,0.0,0.0,0,4,1,0,1,1157,919,234,61,0,2,0,0,0,0,0,0,1000,4,0,3,0.09,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,1239,931,1224,16,1,1,1239,2,2,100.0,0,0,665,0,90,86.8,90.0,33,0,0.0,0,1.88,58,32,26,0.79,0.79,58.3,36.7,21.6,0.66,0.07,0,1,6,0,0,2,0,1,0,74,12,1,92.3,1,1,1,100.0,0.03,0.03,1.0,1.0,8.4,0,0.09,0.9,0.9
28,Alphonse Areola,FRA,GK,Fulham,27,1993,36,36,3240,36.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.33,161.0,114.0,73.9,5.0,13.0,18.0,9.0,25.0,6.0,0.0,0.0,0.0,36.0,48.0,6.0,0.0,2.0,1.0,50.5,0.28,3.5,0.1,144.0,389.0,37.0,760.0,173.0,32.8,30.0,251.0,55.8,39.8,501.0,26.0,5.2,31.0,0.86,13.0,746,1014,73.6,18222,12472,272,274,99.3,254,256,99.2,204,465,43.9,0,0.0,0.0,0.0,0,12,1,0,0,1014,663,348,97,0,0,0,0,0,0,0,0,746,3,0,2,0.06,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3,1104,975,1099,5,0,0,1104,0,0,0.0,1,0,415,0,90,94.7,90.0,36,0,0.0,2,0.78,27,48,-21,-0.58,1.92,39.4,49.4,-10.0,-0.28,0.75,0,0,5,0,0,0,0,0,0,36,13,1,92.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
30,Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,7,6,585,6.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.23,23.0,15.0,69.6,2.0,2.0,2.0,2.0,33.3,1.0,0.0,0.0,0.0,6.5,8.0,1.0,0.0,0.0,0.0,8.0,0.31,0.0,0.0,21.0,53.0,39.6,200.0,41.0,18.5,27.3,46.0,34.8,31.1,68.0,3.0,4.4,1.0,0.15,9.6,202,246,82.1,4701,2834,45,46,97.8,103,104,99.0,52,94,55.3,0,0.0,0.0,0.0,0,2,0,0,2,246,193,53,7,0,0,0,0,0,0,0,0,202,0,0,3,0.46,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,3,259,234,256,3,0,0,259,0,0,0.0,2,0,146,0,84,17.1,90.0,6,1,45.0,28,1.14,9,8,1,0.15,-0.51,11.0,7.5,3.5,0.53,-0.38,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
75,Jack Butland,ENG,GK,Crystal Palace,27,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.0,-1.02,3.0,18.0,16.7,13.0,2.0,76.9,48.9,8.0,100.0,68.1,18.0,1.0,5.6,2.0,2.0,23.3,6,22,27.3,215,178,1,1,100.0,2,2,100.0,3,18,16.7,0,0.0,0.0,0.0,0,1,0,0,0,22,11,10,2,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,24,17,24,0,0,0,24,0,0,0.0,0,0,4,0,90,2.6,90.0,1,0,0.0,30,3.0,3,2,1,1.0,1.7,1.9,1.4,0.5,0.5,1.17,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
76,David Button,ENG,GK,West Brom,31,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.8,0.14,-1.2,-1.18,8.0,27.0,29.6,25.0,1.0,60.0,41.8,12.0,100.0,64.4,25.0,0.0,0.0,0.0,0.0,7.0,18,37,48.6,693,571,2,2,100.0,5,5,100.0,11,30,36.7,0,0.0,0.0,0.0,0,1,0,0,0,37,21,16,4,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,37,31,37,0,0,0,37,0,0,0.0,0,0,13,0,90,2.6,90.0,1,0,0.0,37,3.0,3,2,1,1.0,2.14,2.4,1.5,0.9,0.88,1.77,0,0,0,0,0,0,0,0,0,1,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
78,Willy Caballero,ARG,GK,Chelsea,38,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.5,0.5,-1.5,-1.49,1.0,3.0,33.3,20.0,2.0,15.0,21.6,6.0,0.0,19.2,9.0,0.0,0.0,3.0,3.0,28.0,24,26,92.3,449,362,9,9,100.0,12,12,100.0,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,0,26,19,7,1,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,26,19,26,0,0,0,26,0,0,0.0,0,0,16,0,90,2.6,90.0,1,0,0.0,6,1.0,3,3,0,0.0,-0.59,2.0,0.6,1.4,1.44,0.61,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
85,Scott Carson,ENG,GK,Manchester City,34,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,1.0,3.0,1.0,0.0,1.0,0.0,2.4,0.09,-0.6,-0.56,0.0,1.0,0.0,14.0,6.0,0.0,18.9,2.0,50.0,29.5,10.0,0.0,0.0,0.0,0.0,16.5,15,16,93.8,270,190,3,3,100.0,11,11,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18,16,18,0,0,0,18,0,0,0.0,0,0,7,0,90,2.6,90.0,1,0,0.0,3,3.0,4,3,1,1.0,-0.35,1.5,2.2,-0.8,-0.75,-1.8,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
88,Kiko Casilla,ESP,GK,Leeds United,33,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,10.0,8.0,80.0,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.2,0.32,1.2,0.41,5.0,14.0,35.7,67.0,20.0,10.4,23.2,31.0,22.6,24.7,30.0,4.0,13.3,1.0,0.33,10.8,87,98,88.8,1824,1175,27,27,100.0,43,45,95.6,16,25,64.0,0,0.0,0.0,0.0,0,0,0,0,0,98,60,38,7,0,0,0,0,0,0,0,0,87,0,0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,104,89,104,0,0,0,104,0,0,0.0,0,0,37,0,90,7.9,90.0,3,0,0.0,31,2.0,5,2,3,1.0,0.86,4.3,3.9,0.4,0.12,0.19,0,0,0,0,0,0,0,0,0,8,2,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
