,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
23,2022-02-09,19:45 (21:45),Matchweek 24,Wed,Away,L,0,2,Manchester City,7,2,5,85.7,0,1.9,-0.1,1,1,0,0,11,33,33.3,36,3,69.4,44.3,8,100.0,65.0,17,1,5.9,2,17.4,Match Report
24,2022-02-12,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Crystal Palace,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,11,26,42.3,41,8,56.1,39.9,4,75.0,53.0,17,1,5.9,0,7.0,Match Report
25,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2022-02-19,15:00 (17:00),Matchweek 26,Sat,Away,L,1,2,Arsenal,7,2,5,71.4,0,1.5,-0.5,0,0,0,0,7,20,35.0,35,7,37.1,33.7,8,87.5,48.5,34,1,2.9,2,18.6,Match Report
28,2022-02-26,15:00 (17:00),Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,11,2,9,81.8,0,2.4,+0.4,0,0,0,0,16,39,41.0,33,2,78.8,49.4,15,86.7,57.6,22,1,4.5,0,5.5,Match Report
29,2022-03-05,15:00 (17:00),Matchweek 28,Sat,Away,W,3,1,Norwich City,7,1,6,85.7,0,1.3,+0.3,0,0,0,0,6,15,40.0,31,5,38.7,34.8,5,60.0,46.4,19,1,5.3,0,4.0,Match Report
30,2022-03-12,15:00 (17:00),Matchweek 29,Sat,Home,W,2,0,Burnley,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,11,23,47.8,41,6,43.9,37.0,5,100.0,64.0,24,2,8.3,4,17.1,Match Report
31,2022-03-20,14:00 (16:00),Matchweek 30,Sun,Away,L,1,2,Leicester City,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,10,22,45.5,48,4,43.8,32.8,8,12.5,24.3,11,2,18.2,1,18.0,Match Report
32,2022-04-02,15:00 (16:00),Matchweek 31,Sat,Away,W,4,1,Chelsea,8,1,7,87.5,0,1.3,+0.3,0,0,0,0,10,21,47.6,25,5,52.0,38.4,10,80.0,56.0,28,1,3.6,0,4.3,Match Report
33,2022-04-10,14:00 (15:00),Matchweek 32,Sun,Home,W,2,0,West Ham,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4,8,50.0,38,5,18.4,26.2,9,11.1,22.6,15,0,0.0,0,8.0,Match Report
34,2022-04-16,15:00 (16:00),Matchweek 33,Sat,Away,W,2,1,Watford,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,11,14,78.6,30,6,33.3,32.9,9,44.4,39.8,18,1,5.6,1,14.3,Match Report
35,2022-04-23,17:30 (18:30),Matchweek 34,Sat,Home,D,0,0,Tottenham,0,0,0,,1,0.0,0.0,0,0,0,0,15,29,51.7,38,1,55.3,38.9,9,88.9,64.2,18,0,0.0,0,17.0,Match Report
36,2022-05-02,20:00 (21:00),Matchweek 35,Mon,Away,L,0,3,Manchester Utd,5,3,2,60.0,0,1.7,-1.3,1,1,0,0,7,13,53.8,28,3,39.3,34.2,6,33.3,32.8,5,1,20.0,0,8.0,Match Report
37,2022-05-07,15:00 (16:00),Matchweek 36,Sat,Home,W,3,0,Southampton,4,0,4,100.0,1,0.9,+0.9,0,0,0,0,9,24,37.5,33,7,48.5,39.6,10,80.0,56.9,27,4,14.8,0,8.0,Match Report
38,2022-05-15,16:30 (17:30),Matchweek 37,Sun,Away,W,3,2,Everton,5,2,3,80.0,0,3.3,+1.3,1,1,0,0,9,15,60.0,41,4,26.8,30.9,8,50.0,49.1,13,2,15.4,2,16.0,Match Report
39,2022-05-22,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Leeds United,6,2,4,83.3,0,1.8,-0.2,1,1,0,0,6,17,35.3,27,8,29.6,32.5,9,100.0,63.1,8,0,0.0,1,11.3,Match Report
40,,,,,,13-7-18,48,56,,179,56,125,71.5,9,49.4,-4.6,5,5,0,0,298,768,38.8,1357,184,43.1,35.4,298,61.4,45.5,626,37,5.9,58,16.4,
