,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
27,2022-02-19,15:00 (17:00),Matchweek 26,Sat,Away,L,1,2,Arsenal,234,326,71.8,3919,1842,125,148,84.5,78,103,75.7,24,58,41.4,1,0.9,0.3,4,16,4,1,15,Match Report
28,2022-02-26,15:00 (17:00),Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,222,337,65.9,4601,2068,99,121,81.8,78,111,70.3,43,90,47.8,0,0.4,0.4,5,25,4,1,19,Match Report
29,2022-03-05,15:00 (17:00),Matchweek 28,Sat,Away,W,3,1,Norwich City,238,344,69.2,4102,1791,112,141,79.4,82,106,77.4,29,60,48.3,1,0.3,0.3,5,25,5,1,18,Match Report
30,2022-03-12,15:00 (17:00),Matchweek 29,Sat,Home,W,2,0,Burnley,361,530,68.1,6497,2732,184,224,82.1,131,187,70.1,42,94,44.7,1,1.1,1.0,9,32,7,4,22,Match Report
31,2022-03-20,14:00 (16:00),Matchweek 30,Sun,Away,L,1,2,Leicester City,401,502,79.9,7173,2681,192,217,88.5,159,185,85.9,43,74,58.1,1,1.7,1.7,11,33,10,2,38,Match Report
32,2022-04-02,15:00 (16:00),Matchweek 31,Sat,Away,W,4,1,Chelsea,210,295,71.2,3778,1981,98,115,85.2,76,91,83.5,27,62,43.5,3,1.7,1.1,10,19,8,2,23,Match Report
33,2022-04-10,14:00 (15:00),Matchweek 32,Sun,Home,W,2,0,West Ham,422,525,80.4,7478,3040,181,199,91.0,182,217,83.9,45,78,57.7,2,1.5,1.9,13,28,12,3,32,Match Report
34,2022-04-16,15:00 (16:00),Matchweek 33,Sat,Away,W,2,1,Watford,320,441,72.6,6076,2549,142,175,81.1,123,164,75.0,48,85,56.5,2,1.7,1.3,14,29,6,4,21,Match Report
35,2022-04-23,17:30 (18:30),Matchweek 34,Sat,Home,D,0,0,Tottenham,321,440,73.0,6449,2458,128,158,81.0,135,166,81.3,50,88,56.8,0,0.7,1.1,11,27,4,3,16,Match Report
36,2022-05-02,20:00 (21:00),Matchweek 35,Mon,Away,L,0,3,Manchester Utd,331,427,77.5,5736,2409,174,199,87.4,122,148,82.4,30,63,47.6,0,0.4,0.6,8,25,14,4,32,Match Report
37,2022-05-07,15:00 (16:00),Matchweek 36,Sat,Home,W,3,0,Southampton,252,358,70.4,4533,2322,116,139,83.5,83,118,70.3,37,72,51.4,3,2.6,1.8,14,29,9,1,28,Match Report
38,2022-05-15,16:30 (17:30),Matchweek 37,Sun,Away,W,3,2,Everton,535,636,84.1,10612,3206,193,220,87.7,252,276,91.3,76,108,70.4,2,1.1,1.1,12,45,12,5,37,Match Report
39,2022-05-22,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Leeds United,345,452,76.3,6023,2478,151,175,86.3,158,192,82.3,31,65,47.7,1,1.1,0.5,12,19,6,1,24,Match Report
40,,,,,,13-7-18,48,56,,11676,16272,71.8,211867,85970,5201,6312,82.4,4797,6120,78.4,1357,2852,47.6,32,37.2,33.8,311,942,262,81,896,
