,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
31,2020-06-20,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Arsenal,282,370,76.2,4674,1576,134,151,88.7,125,149,83.9,18,53,34.0,1,0.5,0.6,6,18,8,1,23,Match Report
32,2020-06-23,18:00 (19:00),Matchweek 31,Tue,Away,D,0,0,Leicester City,226,332,68.1,4165,1713,108,131,82.4,85,112,75.9,26,70,37.1,0,0.2,0.2,6,17,1,0,15,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Home,L,0,3,Manchester Utd,323,411,78.6,5767,1968,134,154,87.0,149,176,84.7,28,53,52.8,0,0.2,0.3,4,20,3,1,21,Match Report
34,2020-07-04,12:30 (13:30),Matchweek 33,Sat,Away,W,1,0,Norwich City,373,461,80.9,6882,2456,144,164,87.8,173,197,87.8,43,74,58.1,1,1.0,0.6,7,23,11,2,28,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Home,L,1,3,Liverpool,324,427,75.9,5933,2377,130,146,89.0,134,159,84.3,45,87,51.7,1,2.0,1.0,10,19,10,2,24,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Home,L,0,5,Manchester City,275,366,75.1,4561,1996,116,136,85.3,102,118,86.4,30,59,50.8,0,0.2,0.3,3,15,6,1,13,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Away,D,1,1,Southampton,185,314,58.9,3979,1762,67,99,67.7,77,119,64.7,33,74,44.6,1,0.4,0.6,5,23,6,2,20,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Home,D,0,0,Newcastle Utd,498,582,85.6,8503,2633,225,243,92.6,205,228,89.9,50,79,63.3,0,0.7,0.7,9,38,5,1,33,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,2,1,Burnley,279,377,74.0,5417,2596,135,158,85.4,87,117,74.4,47,83,56.6,1,1.0,0.4,11,23,6,2,20,Match Report
40,,,,,,9-14-15,39,54,,15881,20056,79.2,290666,102496,6755,7803,86.6,7139,8265,86.4,1701,3003,56.6,24,32.0,27.3,343,1124,294,62,1227,
