,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,D,1,1,Manchester Utd,1,16,5,31.3,0.06,0.20,15.4,2,0,0,2.1,2.1,0.13,-1.1,-1.1,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Away,L,0,4,Chelsea,0,3,1,33.3,0.00,0.00,17.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Home,D,0,0,Liverpool,0,8,3,37.5,0.00,0.00,11.6,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,W,1,0,Norwich City,1,12,5,41.7,0.08,0.20,16.8,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,W,2,1,Leicester City,2,6,1,16.7,0.17,1.00,18.4,0,1,1,1.2,0.4,0.07,+0.8,+0.6,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Away,L,0,1,Tottenham,0,11,3,27.3,0.00,0.00,23.2,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,1,1,Southampton,1,11,4,36.4,0.09,0.25,19.7,2,0,0,1.0,1.0,0.10,0.0,0.0,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Away,L,0,3,Wolves,0,6,2,33.3,0.00,0.00,15.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,D,1,1,Aston Villa,1,9,1,11.1,0.11,1.00,18.0,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,W,1,0,Sheffield Utd,1,5,2,40.0,0.20,0.50,14.8,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Bournemouth,1,13,5,38.5,0.08,0.20,13.5,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Match Report
40,,,,,,13-10-15,44,56,,42,468,159,34.0,0.09,0.26,16.4,20,1,1,50.8,50.0,0.11,-8.8,-9.0,
