,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
515,497,Adam Webster,eng ENG,DF,Brighton,24,1995,29.6,29,0.98,23,3,1,0,1,1,1,0.03,1,0,0,0,0,0,Matches
516,498,Danny Welbeck,eng ENG,"MF,FW",Watford,28,1990,9.1,15,1.64,11,0,2,0,2,0,2,0.22,1,0,0,0,1,0,Matches
517,499,Ashley Westwood,eng ENG,MF,Burnley,29,1990,35.0,106,3.03,70,30,0,3,2,1,8,0.23,3,5,0,0,0,0,Matches
518,500,Connor Wickham,eng ENG,"FW,MF",Crystal Palace,26,1993,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
519,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
520,501,Georginio Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,55,1.69,48,0,2,2,2,1,4,0.12,4,0,0,0,0,0,Matches
521,502,Jetro Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,36,2.17,27,3,3,1,1,1,6,0.36,4,1,1,0,0,0,Matches
522,503,Brandon Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,25,2.24,22,1,1,0,1,0,1,0.09,0,0,0,0,1,0,Matches
523,504,Neco Williams,wls WAL,DF,Liverpool,18,2001,2.6,6,2.35,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
524,505,Willian,br BRA,"FW,MF",Chelsea,30,1988,28.9,166,5.75,111,32,8,4,8,3,15,0.52,10,1,1,1,1,1,Matches
525,506,Joe Willock,eng ENG,"MF,FW",Arsenal,19,1999,9.5,31,3.25,25,0,3,1,1,1,3,0.31,3,0,0,0,0,0,Matches
526,507,Jack Wilshere,eng ENG,MF,West Ham,27,1992,2.4,2,0.84,1,0,0,0,1,0,1,0.42,1,0,0,0,0,0,Matches
527,508,Callum Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,59,1.83,42,0,4,5,8,0,9,0.28,3,0,2,1,3,0,Matches
528,509,Harry Wilson,wls WAL,"MF,FW",Bournemouth,22,1997,18.3,49,2.68,35,2,1,4,5,2,5,0.27,3,0,0,1,0,1,Matches
529,510,Harry Winks,eng ENG,MF,Tottenham,23,1996,24.7,49,1.99,42,3,0,1,0,3,6,0.24,6,0,0,0,0,0,Matches
530,511,Chris Wood,nz NZL,FW,Burnley,27,1991,27.1,51,1.88,35,0,3,4,9,0,4,0.15,4,0,0,0,0,0,Matches
531,512,Granit Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,43,1.50,37,2,1,1,2,0,3,0.10,2,0,0,0,1,0,Matches
532,513,Andriy Yarmolenko,ua UKR,MF,West Ham,29,1989,11.0,35,3.18,30,0,2,2,1,0,5,0.45,4,0,1,0,0,0,Matches
533,514,DeAndre Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,17,1.63,15,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
534,515,Maya Yoshida,jp JPN,DF,Southampton,30,1988,6.2,2,0.32,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
535,516,Ashley Young,eng ENG,DF,Manchester Utd,34,1985,10.6,30,2.83,14,14,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
536,517,Pablo Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,5,0.76,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
537,518,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,26,1992,36.4,127,3.48,76,0,26,6,18,1,8,0.22,4,0,1,1,2,0,Matches
538,519,Christoph Zimmermann,de GER,DF,Norwich City,26,1993,15.9,7,0.44,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
539,520,Oleksandr Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,38,2.68,37,1,0,0,0,0,3,0.21,3,0,0,0,0,0,Matches
540,521,Richairo Živković,nl NED,FW,Sheffield Utd,22,1996,1.2,3,2.41,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
541,522,Kurt Zouma,fr FRA,DF,Chelsea,24,1994,26.0,15,0.58,13,0,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
