,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
37,37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,23.1,16,11,7,7,2,5,23,21.7,18,13,3,10,8,24,6,1,Matches
38,38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,85,48,58,20,7,48,81,59.3,33,38,15,23,77,162,173,1,Matches
39,39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,1,Matches
40,40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,4,1,2,2,0,0,5,0.0,5,1,1,0,0,4,1,0,Matches
41,41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34.0,65,38,41,18,6,31,61,50.8,30,44,23,21,77,142,198,4,Matches
42,42,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,12.9,20,13,7,11,2,11,29,37.9,18,20,4,16,19,39,27,1,Matches
43,43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,4,2,4,0,0,2,6,33.3,4,14,8,6,9,13,29,0,Matches
44,44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,3.7,5,4,3,2,0,4,6,66.7,2,3,1,2,7,12,8,0,Matches
45,45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,23,13,14,9,0,7,25,28.0,18,9,2,7,19,42,9,1,Matches
46,46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,9,5,1,6,2,0,10,0.0,10,11,4,7,4,13,28,1,Matches
47,47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,4,2,2,2,0,1,8,12.5,7,8,1,7,7,11,9,0,Matches
48,48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,22,15,3,14,5,5,10,50.0,5,15,1,14,10,32,16,0,Matches
49,49,Steven Bergwijn,nl NED,"MF,FW",Tottenham,21,1997,7.8,10,6,3,6,1,4,12,33.3,8,12,0,12,1,11,5,0,Matches
50,50,Bernard,br BRA,MF,Everton,26,1992,14.2,32,22,12,14,6,13,44,29.5,31,22,2,20,16,48,7,0,Matches
51,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
52,51,Bernardo,br BRA,"DF,MF",Brighton,24,1995,7.5,27,16,12,9,6,13,17,76.5,4,7,3,4,6,33,24,0,Matches
