,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 32_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
23,24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
24,25,Christian Atsu,gh GHA,MF,Newcastle Utd,27,1992,19,6,749,8.3,0,3,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36,0.2,0.2,1.3,1.5,0.03,0.15,0.18,0.03,0.18,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,26,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,30,1989,36,35,3136,34.8,22,3,20,2,2,3,1,0.63,0.09,0.72,0.57,0.66,14.7,13.2,3.3,16.5,0.42,0.09,0.52,0.38,0.47,Matches
27,27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,31,2700,30.0,1,5,1,0,0,4,1,0.03,0.17,0.20,0.03,0.20,0.5,0.5,3.4,3.9,0.02,0.11,0.13,0.02,0.13,Matches
28,28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,37,37,3148,35.0,9,2,9,0,0,6,0,0.26,0.06,0.31,0.26,0.31,7.5,7.5,2.5,10.0,0.21,0.07,0.29,0.21,0.29,Matches
29,29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,3229,35.9,2,6,2,0,0,1,0,0.06,0.17,0.22,0.06,0.22,2.4,2.4,6.0,8.5,0.07,0.17,0.24,0.07,0.24,Matches
30,30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
31,31,Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.18,0.20,0.01,0.20,Matches
32,32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,1177,13.1,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.5,1.5,0.5,2.0,0.12,0.03,0.15,0.12,0.15,Matches
33,33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,38,3420,38.0,2,3,2,0,0,7,0,0.05,0.08,0.13,0.05,0.13,0.6,0.6,1.7,2.4,0.02,0.05,0.06,0.02,0.06,Matches
34,34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,21,1890,21.0,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,1.4,1.7,0.02,0.07,0.08,0.02,0.08,Matches
35,35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1103,12.3,1,4,1,0,0,0,0,0.08,0.33,0.41,0.08,0.41,2.7,2.7,2.3,5.1,0.22,0.19,0.41,0.22,0.41,Matches
36,36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,17,1352,15.0,6,0,5,1,1,4,0,0.40,0.00,0.40,0.33,0.33,6.2,5.4,0.3,5.7,0.41,0.02,0.43,0.36,0.38,Matches
37,37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,36,24,2083,23.1,6,8,6,0,0,0,0,0.26,0.35,0.60,0.26,0.60,8.1,8.1,4.1,12.2,0.35,0.18,0.53,0.35,0.53,Matches
38,38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3242,36.0,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.3,0.3,1.3,1.6,0.01,0.04,0.04,0.01,0.04,Matches
39,39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
40,40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,2.7,1,1,1,0,0,0,0,0.38,0.38,0.75,0.38,0.75,2.4,2.4,0.2,2.6,0.92,0.06,0.98,0.92,0.98,Matches
41,41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,3057,34.0,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,1.1,2.2,0.03,0.03,0.07,0.03,0.07,Matches
42,42,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,15,13,1158,12.9,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches
43,43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
44,44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
45,45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,8.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matches
46,46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1261,14.0,2,1,2,0,0,4,1,0.14,0.07,0.21,0.14,0.21,5.1,5.1,2.6,7.7,0.36,0.19,0.55,0.36,0.55,Matches
47,47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,6.9,1,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,0.6,0.6,1.0,1.6,0.09,0.14,0.23,0.09,0.23,Matches
48,48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,10.5,1,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,0.6,0.6,0.6,1.3,0.06,0.06,0.12,0.06,0.12,Matches
49,49,Steven Bergwijn,nl NED,"MF,FW",Tottenham,21,1997,14,8,704,7.8,3,1,3,0,0,2,0,0.38,0.13,0.51,0.38,0.51,1.0,1.0,0.9,1.9,0.13,0.11,0.25,0.13,0.25,Matches
50,50,Bernard,br BRA,MF,Everton,26,1992,27,15,1280,14.2,3,2,3,0,0,2,0,0.21,0.14,0.35,0.21,0.35,1.8,1.8,2.4,4.1,0.13,0.17,0.29,0.13,0.29,Matches
51,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
52,51,Bernardo,br BRA,"DF,MF",Brighton,24,1995,14,7,679,7.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.1,1.6,0.06,0.15,0.21,0.06,0.21,Matches
53,52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2742,30.5,1,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,1.7,1.7,3.3,5.1,0.06,0.11,0.17,0.06,0.17,Matches
