,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,L,0,1,Norwich City,4,1,3,100.0,0,1.7,+0.7,1,1,0,0,7,17,41.2,21,6,28.6,33.0,12,91.7,60.4,9,1,11.1,1,13.8,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,3,1,Brighton,8,1,7,87.5,0,1.1,+0.1,0,0,0,0,7,22,31.8,24,3,54.2,42.2,11,81.8,58.0,19,1,5.3,2,11.4,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,2,1,Aston Villa,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,11,33,33.3,24,2,83.3,57.6,14,92.9,66.4,21,1,4.8,0,7.2,Match Report
25,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-09,14:00 (16:00),Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,2,15,13.3,17,4,52.9,46.1,8,75.0,57.4,22,0,0.0,0,4.0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,3,Burnley,10,3,7,80.0,0,3.8,+0.8,1,1,0,0,1,11,9.1,25,9,32.0,32.1,5,60.0,50.6,20,1,5.0,0,5.3,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,2,2,Chelsea,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,9,20,45.0,16,2,68.8,44.4,9,100.0,64.8,35,0,0.0,0,5.0,Match Report
30,2020-03-07,12:30 (14:30),Matchweek 29,Sat,Away,L,1,2,Liverpool,6,2,4,66.7,0,2.4,+0.4,0,0,0,0,6,23,26.1,16,1,93.8,59.4,8,100.0,72.3,25,0,0.0,2,18.0,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Home,L,0,2,Crystal Palace,2,2,0,0.0,0,1.3,-0.7,0,0,0,0,6,10,60.0,15,2,53.3,33.9,5,40.0,43.2,7,1,14.3,0,11.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,L,0,1,Wolves,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,6,21,28.6,26,5,50.0,39.4,9,88.9,62.8,15,1,6.7,1,11.3,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,7,4,3,42.9,0,3.4,-0.6,0,0,0,0,2,10,20.0,32,11,25.0,33.0,4,50.0,39.5,6,1,16.7,0,8.5,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,2,5,Manchester Utd,10,5,5,60.0,0,5.0,0.0,1,1,0,0,7,17,41.2,18,6,66.7,42.2,7,71.4,54.9,14,0,0.0,0,6.0,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,0,0,Tottenham,0,0,0,,1,0.0,0.0,0,0,0,0,3,22,13.6,19,2,63.2,45.6,10,100.0,67.3,18,2,11.1,0,6.0,Match Report
36,2020-07-12,19:00 (20:00),Matchweek 35,Sun,Home,W,4,1,Leicester City,5,1,4,80.0,0,1.4,+0.4,0,0,0,0,6,22,27.3,30,6,60.0,44.3,5,80.0,59.0,12,0,0.0,1,13.3,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,L,1,2,Manchester City,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,10,26,38.5,22,1,86.4,51.3,7,100.0,71.7,10,1,10.0,0,5.5,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Home,L,0,2,Southampton,8,2,5,75.0,0,3.1,+1.1,1,0,1,0,9,24,37.5,28,2,71.4,50.2,4,100.0,71.5,12,0,0.0,3,20.0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,3,1,Everton,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,6,17,35.3,18,1,77.8,53.5,3,100.0,71.0,12,1,8.3,0,6.0,Match Report
40,,,,,,9-7-22,40,65,,192,65,126,68.8,5,62.6,-2.4,6,5,1,0,185,616,30.0,866,190,47.5,39.0,295,69.5,53.2,603,20,3.3,26,11.7,
