,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,423,580,72.9,7437,2741,193,237,81.4,173,217,79.7,38,83,45.8,1,0.6,0.8,7,40,8,3,34,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,227,344,66.0,4112,1995,116,144,80.6,81,119,68.1,27,64,42.2,0,0.6,0.7,5,28,3,0,23,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,255,379,67.3,4503,1835,118,149,79.2,98,130,75.4,27,65,41.5,3,1.1,0.6,16,18,9,1,26,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,376,488,77.0,6746,2088,176,207,85.0,154,173,89.0,39,85,45.9,0,0.7,0.6,8,31,7,3,20,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,358,499,71.7,5739,2210,190,225,84.4,136,170,80.0,24,78,30.8,1,1.0,0.3,7,24,5,0,20,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,221,319,69.3,3924,1691,113,139,81.3,74,98,75.5,27,61,44.3,1,0.5,0.4,5,9,1,0,5,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,443,561,79.0,7921,2770,188,208,90.4,188,213,88.3,49,97,50.5,1,1.4,1.0,9,45,15,4,37,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,432,551,78.4,7449,2740,191,218,87.6,175,207,84.5,40,81,49.4,2,1.5,0.8,7,35,10,1,31,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,520,649,80.1,9473,3043,222,249,89.2,217,253,85.8,67,119,56.3,1,1.6,0.8,15,52,14,0,37,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,306,451,67.8,5703,2452,139,171,81.3,120,160,75.0,41,84,48.8,2,1.6,0.9,12,21,11,2,27,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,614,740,83.0,10292,2863,297,327,90.8,258,298,86.6,46,88,52.3,1,0.4,0.5,6,36,10,0,46,Match Report
40,,,,,,15-7-16,51,60,,12488,17468,71.5,218808,83456,5869,7035,83.4,5027,6478,77.6,1240,2921,42.5,32,37.2,28.7,340,1019,282,70,1024,
