,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,2,0,Crystal Palace,0,0,0,,1,0.0,0.0,0,0,0,0,4,19,21.1,18,4,61.1,42.0,8,100.0,65.5,2,0,0.0,0,,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,0,4,Liverpool,9,4,5,55.6,0,3.5,-0.5,0,0,0,0,5,22,22.7,23,4,78.3,52.5,4,100.0,64.5,15,1,6.7,0,9.0,Match Report
25,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Home,L,1,2,Burnley,6,2,4,66.7,0,0.7,-1.3,0,0,0,0,6,19,31.6,32,3,46.9,37.6,7,57.1,45.7,8,0,0.0,4,18.7,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,2,0,Aston Villa,1,0,1,100.0,1,0.4,+0.4,0,0,0,0,10,23,43.5,24,3,79.2,49.1,4,100.0,62.3,15,2,13.3,0,3.3,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,7,3,4,57.1,0,3.0,0.0,0,0,0,0,7,15,46.7,20,4,40.0,38.1,9,77.8,52.0,17,1,5.9,0,8.3,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,7,1,5,85.7,0,2.8,+1.8,1,0,1,0,10,20,50.0,16,1,81.3,47.4,7,100.0,62.3,17,1,5.9,0,12.5,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6,17,35.3,19,0,63.2,42.2,5,100.0,62.0,14,0,0.0,5,24.2,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,5,2,3,60.0,0,2.2,+0.2,0,0,0,0,7,18,38.9,29,3,55.2,38.8,3,66.7,54.0,3,0,0.0,2,23.7,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,0,1,0,,0,0.0,0.0,0,0,0,0,8,18,44.4,17,1,76.5,46.9,5,100.0,63.8,17,0,0.0,1,16.7,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,6,0,6,100.0,1,2.7,+2.7,0,0,0,0,14,28,50.0,33,3,66.7,42.9,11,54.5,40.5,31,0,0.0,0,7.7,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,4,1,3,75.0,0,1.3,+0.3,0,0,0,0,6,24,25.0,35,4,48.6,39.1,7,100.0,64.4,10,0,0.0,3,21.3,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,9,22,40.9,30,1,50.0,36.2,8,87.5,59.4,8,0,0.0,4,24.0,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,6,16,37.5,28,4,42.9,33.5,6,66.7,53.2,10,1,10.0,1,15.0,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,3,0,3,100.0,1,0.8,+0.8,0,0,0,0,10,28,35.7,34,6,61.8,45.7,7,100.0,70.4,25,3,12.0,0,8.2,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,3,1,2,66.7,0,2.2,+1.2,0,0,0,0,2,6,33.3,34,3,17.6,27.2,4,0.0,15.5,8,0,0.0,0,9.0,Match Report
40,,,,,,15-7-16,51,60,,168,60,108,66.1,9,54.7,-4.3,4,3,1,0,229,706,32.4,824,103,59.8,41.7,255,83.5,56.2,578,29,5.0,39,13.7,
