,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,1,10,2,20.0,0.10,0.50,17.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,0,6,3,50.0,0.00,0.00,15.8,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,3,22,8,36.4,0.14,0.38,18.9,2,0,0,1.7,1.7,0.08,+1.3,+1.3,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,0,12,3,25.0,0.00,0.00,16.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,3,11,7,63.6,0.27,0.43,19.0,3,0,0,1.3,1.3,0.12,+1.7,+1.7,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,1,8,4,50.0,0.13,0.25,23.5,1,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,1,15,4,26.7,0.07,0.25,17.6,2,0,1,2.4,1.6,0.11,-1.4,-0.6,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,2,9,5,55.6,0.22,0.40,11.6,0,0,0,1.6,1.6,0.19,+0.4,+0.4,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,1,21,5,23.8,0.05,0.20,18.1,1,0,0,2.5,2.5,0.12,-1.5,-1.5,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,2,15,7,46.7,0.13,0.29,18.3,0,0,1,2.5,1.7,0.12,-0.5,+0.3,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,3,12,3,25.0,0.17,0.67,21.1,0,1,1,1.7,0.9,0.07,+1.3,+1.1,Match Report
40,,,,,,15-7-16,51,60,,51,494,171,34.6,0.10,0.29,17.8,27,2,5,56.1,52.1,0.11,-5.1,-3.1,
