,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Away,D,1,1,Everton,1,14,5,35.7,0.07,0.20,19.8,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
30,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Home,W,2,0,Manchester City,2,12,6,50.0,0.17,0.33,18.3,1,0,0,1.6,1.6,0.13,+0.4,+0.4,Match Report
31,2020-06-19,20:15 (21:15),Matchweek 30,Fri,Away,D,1,1,Tottenham,1,11,5,45.5,0.00,0.00,21.2,0,1,1,1.7,0.9,0.08,-0.7,-0.9,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,W,3,0,Sheffield Utd,3,15,6,40.0,0.20,0.50,15.7,1,0,0,2.4,2.4,0.16,+0.6,+0.6,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Away,W,3,0,Brighton,3,12,6,50.0,0.25,0.50,17.3,1,0,0,1.0,1.0,0.08,+2.0,+2.0,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Home,W,5,2,Bournemouth,5,18,9,50.0,0.22,0.44,19.9,3,1,1,2.5,1.7,0.10,+2.5,+2.3,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Away,W,3,0,Aston Villa,3,13,5,38.5,0.15,0.40,17.9,1,1,1,2.3,1.5,0.12,+0.7,+0.5,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Home,D,2,2,Southampton,2,8,4,50.0,0.25,0.50,19.3,0,0,0,1.5,1.5,0.19,+0.5,+0.5,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Away,W,2,0,Crystal Palace,2,17,5,29.4,0.12,0.40,18.0,1,0,0,2.2,2.2,0.13,-0.2,-0.2,Match Report
38,2020-07-22,18:00 (19:00),Matchweek 37,Wed,Home,D,1,1,West Ham,1,11,4,36.4,0.09,0.25,19.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,2,0,Leicester City,2,6,2,33.3,0.17,0.50,16.8,0,1,1,1.3,0.5,0.09,+0.7,+0.5,Match Report
40,,,,,,18-12-8,66,36,,65,530,201,37.9,0.10,0.27,19.1,33,10,14,62.2,51.2,0.10,+2.8,+3.8,
