,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
22,2020-01-23,20:00 (22:00),Matchweek 24,Thu,Away,W,2,1,Wolves,3,1,2,66.7,0,1.4,+0.4,0,0,0,0,4,5,80.0,30,8,10.0,25.0,5,40.0,32.8,20,0,0.0,2,21.2,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Away,W,2,0,West Ham,4,0,4,100.0,1,0.7,+0.7,0,0,0,0,1,6,16.7,23,7,17.4,25.7,6,33.3,29.8,12,1,8.3,2,19.3,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,4,0,Southampton,4,0,4,100.0,1,0.3,+0.3,0,0,0,0,5,12,41.7,36,5,13.9,25.9,13,53.8,39.8,14,0,0.0,1,19.3,Match Report
25,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-15,17:30 (19:30),Matchweek 26,Sat,Away,W,1,0,Norwich City,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,3,33.3,19,3,5.3,23.4,5,40.0,40.6,2,0,0.0,1,19.7,Match Report
28,2020-02-24,20:00 (22:00),Matchweek 27,Mon,Home,W,3,2,West Ham,4,2,2,50.0,0,0.7,-1.3,0,0,0,0,3,5,60.0,19,7,21.1,27.2,2,50.0,41.0,20,0,0.0,1,25.0,Match Report
29,2020-02-29,17:30 (19:30),Matchweek 28,Sat,Away,L,0,3,Watford,5,3,2,40.0,0,1.7,-1.3,0,0,0,0,1,2,50.0,31,2,6.5,24.0,7,0.0,15.4,12,1,8.3,3,20.0,Match Report
30,2020-03-07,12:30 (14:30),Matchweek 29,Sat,Home,W,2,1,Bournemouth,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,5,8,62.5,15,3,33.3,30.6,4,75.0,39.5,11,0,0.0,4,22.3,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Away,D,0,0,Everton,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,2,5,40.0,28,2,10.7,23.4,5,40.0,40.2,3,0,0.0,4,25.0,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Home,W,4,0,Crystal Palace,0,0,0,,1,0.0,0.0,0,0,0,0,1,2,50.0,19,4,10.5,23.4,4,0.0,21.8,0,0,,0,,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Away,L,0,4,Manchester City,5,4,2,40.0,0,2.0,-1.0,1,1,0,0,1,4,25.0,28,4,10.7,24.2,5,20.0,25.0,8,1,12.5,1,16.7,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Home,W,2,0,Aston Villa,3,0,3,100.0,1,1.2,+1.2,0,0,0,0,4,6,66.7,32,5,15.6,27.6,4,25.0,34.3,14,1,7.1,4,16.6,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Away,W,3,1,Brighton,2,1,1,50.0,0,1.3,+0.3,0,0,0,0,5,10,50.0,23,4,30.4,33.6,8,37.5,35.6,14,0,0.0,4,18.6,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Home,D,1,1,Burnley,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,3,66.7,30,7,6.7,22.9,4,25.0,22.5,14,1,7.1,5,15.2,Match Report
37,2020-07-15,20:15 (21:15),Matchweek 36,Wed,Away,L,1,2,Arsenal,2,2,0,0.0,0,1.2,-0.8,0,0,0,0,4,5,80.0,24,8,20.8,27.9,3,0.0,18.3,2,1,50.0,4,24.1,Match Report
38,2020-07-22,20:15 (21:15),Matchweek 37,Wed,Home,W,5,3,Chelsea,5,3,2,40.0,0,2.5,-0.5,0,0,0,0,3,12,25.0,34,4,26.5,31.5,9,33.3,33.8,15,0,0.0,2,20.7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,3,1,Newcastle Utd,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,3,3,100.0,21,4,14.3,24.9,2,0.0,16.5,4,0,0.0,4,29.3,Match Report
40,,,,,,32-3-3,85,33,,107,33,75,68.9,15,27.1,-5.2,1,1,0,0,121,288,42.0,1019,191,21.8,28.7,237,27.4,30.4,426,17,4.0,77,18.3,
