,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
31,2020-06-20,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Arsenal,22,15,14,5,3,12,20,60.0,8,12,4,8,8,30,25,1,Match Report
32,2020-06-23,18:00 (19:00),Matchweek 31,Tue,Away,D,0,0,Leicester City,21,14,8,8,5,6,14,42.9,8,11,2,9,10,31,28,0,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Home,L,0,3,Manchester Utd,13,9,6,7,0,6,14,42.9,8,12,2,10,10,23,16,0,Match Report
34,2020-07-04,12:30 (13:30),Matchweek 33,Sat,Away,W,1,0,Norwich City,11,5,5,5,1,2,11,18.2,9,18,7,11,13,24,18,0,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Home,L,1,3,Liverpool,12,7,6,5,1,8,17,47.1,9,16,7,9,10,22,39,2,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Home,L,0,5,Manchester City,12,7,7,5,0,6,25,24.0,19,12,6,6,17,29,18,1,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Away,D,1,1,Southampton,18,13,13,4,1,8,18,44.4,10,17,9,8,12,30,21,0,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Home,D,0,0,Newcastle Utd,12,7,4,7,1,3,13,23.1,10,18,7,11,10,22,21,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,2,1,Burnley,6,4,4,1,1,0,1,0.0,1,10,3,7,7,13,30,1,Match Report
40,,,,,,9-14-15,39,54,,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,
