,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Aston Villa,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,7,12,58.3,31,6,35.5,33.7,9,11.1,21.4,15,2,13.3,1,12.6,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,L,1,3,Bournemouth,3,3,1,0.0,0,1.0,-1.0,0,0,0,0,3,3,100.0,33,4,9.1,24.9,6,0.0,21.2,6,1,16.7,0,9.1,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,D,3,3,West Ham,6,3,3,50.0,0,0.4,-2.6,0,0,0,0,3,14,21.4,34,10,23.5,28.8,8,75.0,50.3,20,1,5.0,0,5.5,Match Report
25,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-08,17:30 (19:30),Matchweek 26,Sat,Home,D,1,1,Watford,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,8,14,57.1,45,9,22.2,27.0,5,80.0,53.6,4,0,0.0,1,38.0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,D,1,1,Sheffield Utd,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,8,15,53.3,24,8,33.3,33.0,9,77.8,50.7,37,0,0.0,0,4.5,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Home,L,0,1,Crystal Palace,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,3,6,50.0,23,6,26.1,27.7,3,0.0,21.7,10,1,10.0,0,14.0,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,D,0,0,Wolves,1,0,1,100.0,1,0.0,0.0,0,0,0,0,9,15,60.0,27,5,29.6,28.8,9,77.8,47.1,12,1,8.3,4,17.8,Match Report
31,2020-06-20,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Arsenal,6,1,5,83.3,0,1.3,+0.3,0,0,0,0,2,9,22.2,25,5,36.0,31.8,5,0.0,14.6,18,0,0.0,0,,Match Report
32,2020-06-23,18:00 (19:00),Matchweek 31,Tue,Away,D,0,0,Leicester City,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,11,22,50.0,23,2,56.5,38.6,11,81.8,52.7,19,0,0.0,0,13.0,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Home,L,0,3,Manchester Utd,6,3,3,50.0,0,1.2,-1.8,0,0,0,0,3,8,37.5,30,3,16.7,26.5,6,50.0,40.2,7,0,0.0,1,28.0,Match Report
34,2020-07-04,12:30 (13:30),Matchweek 33,Sat,Away,W,1,0,Norwich City,1,0,1,100.0,1,0.0,0.0,0,0,0,0,7,14,50.0,47,6,21.3,29.5,7,57.1,43.6,10,0,0.0,1,27.0,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Home,L,1,3,Liverpool,8,3,5,62.5,0,2.3,-0.7,0,0,0,0,5,11,45.5,34,9,20.6,30.8,8,50.0,37.3,26,1,3.8,0,9.0,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Home,L,0,5,Manchester City,8,5,3,37.5,0,3.6,-1.4,0,0,0,0,3,6,50.0,26,8,7.7,24.0,11,36.4,30.2,12,0,0.0,2,18.0,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Away,D,1,1,Southampton,5,1,4,80.0,0,2.0,+1.0,0,0,0,0,11,27,40.7,26,2,73.1,48.4,8,100.0,60.3,16,0,0.0,0,5.0,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Home,D,0,0,Newcastle Utd,1,0,1,100.0,1,0.4,+0.4,0,0,0,0,3,7,42.9,31,7,19.4,26.2,7,14.3,21.1,20,0,0.0,1,25.0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,2,1,Burnley,1,1,0,0.0,0,1.0,0.0,0,0,0,0,14,21,66.7,24,4,54.2,44.5,12,66.7,43.3,30,2,6.7,0,5.5,Match Report
40,,,,,,9-14-15,39,54,,168,54,116,69.0,9,50.2,-1.8,2,2,0,0,207,412,50.2,1201,255,25.3,29.0,274,39.4,33.4,526,20,3.8,26,13.7,
