,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,1,4,25.0,10,2,20.0,26.6,5,40.0,32.8,8,0,0.0,0,6.0,Match Report
23,2020-01-21,20:15 (22:15),Matchweek 24,Tue,Home,D,2,2,Arsenal,2,2,0,0.0,0,1.2,-0.8,0,0,0,0,2,4,50.0,16,1,25.0,25.7,1,0.0,16.0,9,0,0.0,1,40.0,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Away,D,2,2,Leicester City,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,3,9,33.3,24,3,20.8,28.5,7,57.1,47.3,10,0,0.0,0,3.0,Match Report
25,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Home,L,0,2,Manchester Utd,3,2,1,33.3,0,0.7,-1.3,0,0,0,0,4,11,36.4,26,1,38.5,30.7,6,16.7,23.2,13,1,7.7,0,7.0,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Home,W,2,1,Tottenham,3,1,3,66.7,0,0.4,+0.4,0,0,0,0,2,13,15.4,29,7,37.9,36.3,4,50.0,39.5,8,0,0.0,3,24.8,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,2,2,Bournemouth,5,2,3,60.0,0,1.4,-0.6,0,0,0,0,4,8,50.0,24,2,20.8,28.7,5,60.0,40.6,8,0,0.0,0,,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Home,W,4,0,Everton,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,7,14,50.0,34,5,32.4,33.0,7,42.9,42.7,11,2,18.2,0,6.0,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Away,W,2,1,Aston Villa,4,1,3,75.0,0,1.0,0.0,0,0,0,0,3,8,37.5,26,4,23.1,30.4,4,50.0,37.8,9,1,11.1,1,19.0,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Home,W,2,1,Manchester City,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,5,12,41.7,30,9,30.0,29.3,14,21.4,25.9,17,0,0.0,0,2.0,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Away,L,2,3,West Ham,4,3,1,25.0,0,2.7,-0.3,0,0,0,0,0,1,0.0,27,4,3.7,19.6,4,0.0,17.0,5,0,0.0,1,21.0,Match Report
34,2020-07-04,20:00 (21:00),Matchweek 33,Sat,Home,W,3,0,Watford,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,1,3,33.3,23,5,13.0,25.5,4,0.0,18.8,10,0,0.0,2,25.0,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Away,W,3,2,Crystal Palace,4,2,2,50.0,0,1.5,-0.5,0,0,0,0,5,10,50.0,25,6,24.0,29.2,5,80.0,55.0,19,2,10.5,1,10.0,Match Report
36,2020-07-11,17:30 (18:30),Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,4,3,1,25.0,0,2.1,-0.9,0,0,0,0,0,1,0.0,29,5,3.4,24.1,7,0.0,20.9,10,1,10.0,0,8.0,Match Report
37,2020-07-14,20:15 (21:15),Matchweek 36,Tue,Home,W,1,0,Norwich City,0,0,0,,1,0.0,0.0,0,0,0,0,3,5,60.0,27,3,18.5,25.2,2,0.0,15.5,5,0,0.0,0,,Match Report
38,2020-07-22,20:15 (21:15),Matchweek 37,Wed,Away,L,3,5,Liverpool,7,5,2,28.6,0,2.1,-2.9,0,0,0,0,7,16,43.8,34,7,41.2,34.8,5,40.0,29.4,9,0,0.0,0,12.7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,2,0,Wolves,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6,11,54.5,33,4,33.3,31.9,6,0.0,15.2,7,0,0.0,0,3.0,Match Report
40,,,,,,20-6-12,69,54,,115,54,64,54.8,9,37.5,-13.5,2,2,0,0,102,302,33.8,1028,168,22.0,28.7,226,33.6,32.7,389,21,5.4,38,16.0,
