,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,340,445,76.4,7308,2582,115,139,82.7,150,176,85.2,67,106,63.2,0,1.3,1.2,12,24,3,0,22,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Home,L,1,2,Chelsea,176,277,63.5,3256,1538,80,104,76.9,65,94,69.1,24,63,38.1,0,0.6,0.7,5,17,3,2,12,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,312,424,73.6,5447,2391,147,162,90.7,135,180,75.0,28,73,38.4,1,1.6,1.4,13,35,9,4,40,Match Report
33,2020-06-27,12:30 (13:30),Matchweek 32,Sat,Home,L,0,1,Wolves,367,458,80.1,6601,2189,173,187,92.5,145,164,88.4,44,91,48.4,0,0.4,0.4,9,37,6,3,19,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Away,L,0,2,Liverpool,199,312,63.8,3617,1773,95,110,86.4,64,95,67.4,32,84,38.1,0,0.7,0.3,9,18,7,1,22,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Home,L,0,3,Manchester Utd,264,353,74.8,4610,1859,124,145,85.5,91,116,78.4,32,61,52.5,0,0.4,0.4,7,17,7,4,18,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Home,W,2,0,Crystal Palace,258,363,71.1,5198,2382,111,133,83.5,95,125,76.0,42,79,53.2,1,1.5,0.8,10,20,8,2,26,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Away,D,1,1,Everton,313,412,76.0,6178,2879,124,139,89.2,105,133,78.9,60,104,57.7,1,1.2,1.2,12,25,11,4,35,Match Report
38,2020-07-21,20:15 (21:15),Matchweek 37,Tue,Home,W,1,0,Arsenal,216,303,71.3,4368,1917,92,108,85.2,76,102,74.5,41,73,56.2,1,0.5,0.3,7,10,6,2,16,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,D,1,1,West Ham,217,323,67.2,4510,1772,74,90,82.2,102,129,79.1,36,89,40.4,1,0.9,0.4,10,17,5,2,16,Match Report
40,,,,,,9-8-21,41,67,,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.3,27.7,369,908,270,95,899,
