,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,0,0,Burnley,0,21,4,19.0,0.00,0.00,19.2,1,0,0,1.1,1.1,0.05,-1.1,-1.1,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,W,1,0,Southampton,1,13,6,46.2,0.08,0.17,14.5,0,0,1,2.8,2.0,0.20,-1.8,-1.0,Match Report
31,2020-06-21,14:00 (15:00),Matchweek 30,Sun,Home,W,3,0,Sheffield Utd,3,12,8,66.7,0.25,0.38,19.1,1,0,0,2.0,2.0,0.17,+1.0,+1.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,D,1,1,Aston Villa,1,13,3,23.1,0.08,0.33,20.9,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,W,4,1,Bournemouth,4,12,7,58.3,0.33,0.57,18.4,0,0,0,1.8,1.8,0.15,+2.2,+2.2,Match Report
34,2020-07-05,14:15 (15:15),Matchweek 33,Sun,Home,D,2,2,West Ham,2,11,4,36.4,0.18,0.50,21.5,1,0,0,1.4,1.4,0.13,+0.6,+0.6,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,L,0,5,Manchester City,0,6,1,16.7,0.00,0.00,20.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Away,L,1,2,Watford,1,8,4,50.0,0.13,0.25,15.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,L,1,3,Tottenham,1,22,6,27.3,0.05,0.17,20.7,1,0,0,1.1,1.1,0.05,-0.1,-0.1,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,D,0,0,Brighton,0,12,1,8.3,0.00,0.00,14.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Liverpool,1,3,2,66.7,0.33,0.50,21.2,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Match Report
40,,,,,,11-11-16,38,58,,38,398,132,33.2,0.10,0.29,19.1,14,0,1,35.5,34.8,0.09,+2.5,+3.2,
