,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Away,L,0,5,Manchester City,260,343,75.8,4601,1444,126,136,92.6,88,103,85.4,36,84,42.9,0,0.0,0.1,0,14,0,0,8,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,W,1,0,Watford,331,468,70.7,5351,2020,170,197,86.3,111,139,79.9,29,97,29.9,1,0.7,0.9,7,24,5,2,19,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Away,W,1,0,Crystal Palace,288,388,74.2,5096,1672,128,144,88.9,107,127,84.3,36,85,42.4,1,0.2,0.3,5,19,4,1,14,Match Report
34,2020-07-05,12:00 (13:00),Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,330,460,71.7,5783,2314,150,176,85.2,100,125,80.0,49,104,47.1,1,1.0,0.4,7,28,5,1,13,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,W,1,0,West Ham,330,443,74.5,5434,2125,170,192,88.5,111,141,78.7,29,70,41.4,1,0.5,0.9,7,29,8,3,16,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Away,D,1,1,Liverpool,168,302,55.6,3053,1500,86,111,77.5,46,73,63.0,27,97,27.8,1,0.2,0.1,3,7,1,0,4,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,D,1,1,Wolves,283,407,69.5,5441,2293,126,157,80.3,103,126,81.7,45,102,44.1,0,1.1,0.6,8,25,8,2,18,Match Report
38,2020-07-18,17:30 (18:30),Matchweek 37,Sat,Away,W,2,0,Norwich City,434,531,81.7,7424,2537,195,208,93.8,162,194,83.5,50,86,58.1,1,1.5,1.5,18,41,20,5,41,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Brighton,328,454,72.2,6282,2448,146,170,85.9,126,159,79.2,48,102,47.1,1,1.8,0.9,12,23,13,10,22,Match Report
40,,,,,,15-9-14,43,50,,10049,14694,68.4,181797,76084,4700,5595,84.0,3686,4854,75.9,1295,3221,40.2,30,32.7,28.5,280,787,217,99,702,
