,Date,Time,Round,Day,Team,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee,Standard | Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Standard | PK,Standard | PKatt,Expected | xG,Expected | npxG,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG,Performance | SoTA,Performance | GA,Performance | Saves,Performance | Save%,Performance | CS,Performance | PSxG,Performance | PSxG+/-,Penalty Kicks | PKatt,Penalty Kicks | PKA,Penalty Kicks | PKsv,Penalty Kicks | PKm,Launched | Cmp,Launched | Att,Launched | Cmp%,Passes | Att,Passes | Thr,Passes | Launch%,Passes | AvgLen,Goal Kicks | Att,Goal Kicks | Launch%,Goal Kicks | AvgLen,Crosses | Opp,Crosses | Stp,Crosses | Stp%,Sweeper | #OPA,Sweeper | AvgDist,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA Types | SCA,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA Types | GCA,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Performance | CrdY,Performance | CrdR,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Performance | Crs,Performance | Int,Performance | TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Poss
0,2021-08-15,16:30:00,1,Sun,Manchester City,Away,L,0,1,Tottenham,2.0,1.0,58262,Fernandinho,4-3-3,Anthony Taylor,0,18,4,22.2,0.0,0.0,17.3,1,0,0,2.0,2.0,0.11,-2.0,-2.0,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,1,2,50.0,16,6,12.5,25.9,5,0.0,22.2,9,1,11.1,0,12.5,493,602,81.9,7528,2608,283,316,89.6,175,204,85.8,24,44,54.5,0,1.3,1.2,13,40,9,2,44,602,552,49,13,3,1,30,17,11,2,3,1,493,1,18,35,29,2,2,1,1,0,0,0,0,0,0,0,0,16,11,4,12,0,5,19,26.3,14,7,5,2,3,19,11,0,684,37,126,366,197,35,684,20,27,74.1,13,8,488,44,1,0,0,8,11,1,30,3,11,0,0,0,53,19,14,57.6,65
1,2021-08-21,15:00:00,2,Sat,Manchester City,Home,W,5,0,Norwich City,2.7,0.1,51437,Ilkay Gundogan,4-3-3,Graham Scott,4,16,4,25.0,0.25,1.0,18.5,1,0,0,2.7,2.7,0.17,1.3,1.3,0,0,0,0.0,1,0.0,0.0,0,0,0,0,2,2,100.0,13,3,15.4,22.2,2,0.0,23.5,6,0,0.0,3,23.5,709,781,90.8,11832,3037,343,361,95.0,285,310,91.9,58,73,79.5,3,2.4,1.9,11,77,17,0,49,781,741,38,9,2,10,26,20,6,4,0,0,709,2,7,28,21,2,0,2,1,2,7,6,0,0,1,0,0,14,8,2,6,6,7,13,53.8,6,3,0,3,6,20,3,0,848,21,71,460,321,44,848,9,15,60.0,13,12,703,47,1,0,0,13,6,2,26,6,8,0,0,0,38,9,3,75.0,67
2,2021-08-28,12:30:00,3,Sat,Manchester City,Home,W,5,0,Arsenal,4.0,0.2,52276,Ilkay Gundogan,4-3-3,Martin Atkinson,5,25,10,40.0,0.2,0.5,14.8,0,0,0,4.0,4.0,0.16,1.0,1.0,0,0,0,0.0,1,0.0,0.0,0,0,0,0,1,6,16.7,33,2,15.2,23.9,4,25.0,36.8,3,0,0.0,4,36.0,721,813,88.7,10729,3207,373,391,95.4,288,319,90.3,32,64,50.0,4,3.4,3.6,21,52,21,6,44,813,760,52,10,8,1,30,23,14,4,2,0,721,1,5,49,45,1,1,1,1,0,10,10,0,0,0,0,0,14,10,2,8,4,6,8,75.0,2,3,0,3,4,18,3,0,878,33,144,387,350,45,878,7,14,50.0,8,2,706,43,1,0,0,5,7,1,30,4,10,0,0,0,45,13,9,59.1,80
3,2021-09-11,15:00:00,4,Sat,Manchester City,Away,W,1,0,Leicester City,3.3,0.6,32087,Ilkay Gundogan,4-3-3,Paul Tierney,1,25,8,32.0,0.04,0.13,14.3,0,0,0,3.3,3.3,0.14,-2.3,-2.3,1,0,1,100.0,1,0.4,0.4,0,0,0,0,3,5,60.0,18,6,22.2,26.1,6,16.7,19.7,9,1,11.1,2,15.8,535,618,86.6,9246,2784,223,245,91.0,247,262,94.3,44,66,66.7,0,2.3,1.9,17,55,18,4,47,618,573,41,6,10,4,31,20,8,5,2,0,535,4,13,41,33,2,0,4,1,1,1,0,0,0,1,0,0,14,7,6,4,4,6,12,50.0,6,7,2,5,5,19,9,0,706,38,144,344,223,44,706,5,14,35.7,16,9,527,45,2,0,0,11,4,4,31,5,7,0,0,0,53,8,12,40.0,61
4,2021-09-18,15:00:00,5,Sat,Manchester City,Home,D,0,0,Southampton,1.2,0.5,52698,Fernandinho,4-3-3,Jonathan Moss,0,16,1,6.3,0.0,0.0,16.4,1,0,0,1.2,1.2,0.07,-1.2,-1.2,2,0,2,100.0,1,0.3,0.3,0,0,0,0,1,1,100.0,36,9,2.8,17.8,5,0.0,20.6,11,1,9.1,1,14.8,521,612,85.1,8760,3012,232,257,90.3,223,254,87.8,42,59,71.2,0,1.0,0.8,12,32,11,3,27,612,562,46,11,4,4,23,21,8,3,3,0,521,4,7,29,24,1,2,1,1,0,0,0,0,0,0,0,0,13,10,7,6,0,5,18,27.8,13,13,6,7,8,21,13,0,724,62,220,342,168,26,724,13,25,52.0,18,9,509,27,0,0,0,5,10,4,23,8,10,0,0,0,51,22,15,59.5,64
5,2021-09-25,12:30:00,6,Sat,Manchester City,Away,W,1,0,Chelsea,1.4,0.2,40036,Ruben Dias,4-3-3,Michael Oliver,1,15,3,20.0,0.07,0.33,17.1,0,0,0,1.4,1.4,0.1,-0.4,-0.4,0,0,0,0.0,1,0.0,0.0,0,0,0,0,3,9,33.3,27,4,25.9,32.5,3,66.7,53.7,13,3,23.1,2,15.8,547,645,84.8,9516,2930,228,246,92.7,251,277,90.6,51,84,60.7,1,1.2,0.9,13,44,7,0,34,645,598,43,14,2,2,26,12,13,9,1,0,547,4,14,30,22,3,1,2,1,1,1,0,0,0,1,0,0,16,9,3,7,6,8,18,44.4,10,11,4,7,8,24,17,0,738,58,163,383,197,31,738,9,15,60.0,14,7,539,33,2,0,0,10,12,4,26,8,9,0,0,0,53,9,18,33.3,59
6,2021-10-03,16:30:00,7,Sun,Manchester City,Away,D,2,2,Liverpool,1.7,0.8,53102,Ruben Dias,4-3-3,Paul Tierney,2,12,3,25.0,0.17,0.67,17.0,1,0,0,1.7,1.7,0.14,0.3,0.3,3,2,1,33.3,0,1.8,-0.2,0,0,0,0,3,8,37.5,37,13,21.6,29.5,2,0.0,14.5,16,0,0.0,4,21.0,476,581,81.9,8284,2788,235,264,89.0,165,191,86.4,59,86,68.6,1,1.5,0.9,9,30,13,2,25,581,536,40,11,6,8,14,20,4,2,0,0,476,5,8,23,19,0,2,1,1,0,4,3,0,1,0,0,0,11,9,8,3,0,4,14,28.6,10,9,3,6,8,19,18,0,663,74,230,313,128,26,663,14,19,73.7,16,12,472,25,3,0,0,12,10,5,14,8,9,0,0,0,55,9,9,50.0,51
7,2021-10-16,15:00:00,8,Sat,Manchester City,Home,W,2,0,Burnley,2.2,0.8,52711,Kevin De Bruyne,4-3-3,Martin Atkinson,2,15,6,40.0,0.13,0.33,14.4,0,0,0,2.2,2.2,0.15,-0.2,-0.2,2,0,2,100.0,1,0.1,0.1,0,0,0,0,1,6,16.7,32,6,15.6,23.4,7,14.3,19.3,10,0,0.0,3,16.6,711,813,87.5,11067,3210,409,437,93.6,233,259,90.0,50,80,62.5,0,1.0,1.2,9,63,21,1,54,813,776,37,8,1,7,24,15,6,3,0,0,711,0,8,26,23,0,1,2,0,0,3,2,0,0,1,0,0,11,6,5,4,2,7,12,58.3,5,4,1,3,10,21,11,1,901,80,244,356,308,51,901,9,18,50.0,16,8,697,54,1,0,0,11,5,0,24,10,6,0,0,0,53,11,15,42.3,70
8,2021-10-23,17:30:00,9,Sat,Manchester City,Away,W,4,1,Brighton,4.0,1.4,31215,Ilkay Gundogan,4-3-3,Kevin Friend,4,23,12,52.2,0.17,0.33,16.0,1,0,0,4.0,4.0,0.2,0.0,0.0,5,1,4,100.0,0,1.2,0.2,1,1,0,0,3,9,33.3,30,9,13.3,27.8,8,62.5,46.8,13,1,7.7,2,18.3,517,599,86.3,8671,2702,252,274,92.0,189,209,90.4,50,74,67.6,4,3.7,1.0,18,35,8,0,24,599,555,43,11,4,3,7,16,6,2,1,0,517,1,7,40,28,2,3,6,1,0,6,4,0,0,2,0,0,7,3,5,0,2,2,14,14.3,12,10,1,9,8,15,18,0,697,73,193,317,193,35,697,12,22,54.5,12,6,512,24,3,0,0,6,9,1,7,8,3,0,1,0,48,5,14,26.3,52
9,2021-10-30,15:00:00,10,Sat,Manchester City,Home,L,0,2,Crystal Palace,1.1,0.8,53014,Ruben Dias,4-3-3,Andre Marriner,0,14,3,21.4,0.0,0.0,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,3,4,75.0,27,2,14.8,23.9,5,0.0,21.0,4,0,0.0,1,20.0,602,724,83.1,10379,3018,282,314,89.8,245,274,89.4,58,93,62.4,0,0.9,0.9,11,46,14,2,36,724,657,65,16,1,3,32,34,7,0,7,0,602,2,19,25,21,0,1,2,1,0,0,0,0,0,0,0,0,16,10,4,9,3,7,13,53.8,6,6,1,5,6,22,3,1,799,37,162,383,258,42,799,9,18,50.0,12,12,597,36,2,1,0,11,10,2,32,6,10,0,0,0,51,13,14,48.1,68
