,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Away,W,2,0,Bournemouth,42,502,57,184,207,116,14,502,9,14,64.3,15,13,276,19,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Away,L,0,4,Liverpool,27,466,105,267,176,33,0,466,10,14,71.4,12,13,247,4,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Home,L,0,1,Burnley,59,636,44,218,207,215,34,636,7,13,53.8,19,10,426,25,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,0,3,Leicester City,48,596,44,165,330,111,12,596,14,23,60.9,20,20,384,22,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Home,L,2,3,Chelsea,43,568,69,180,218,184,28,568,7,13,53.8,26,15,326,34,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Away,L,0,2,Aston Villa,55,524,57,155,259,121,23,524,18,21,85.7,13,9,331,29,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,L,0,2,Manchester Utd,41,566,74,157,272,147,20,566,14,20,70.0,16,8,356,28,Match Report
38,2020-07-20,20:15 (21:15),Matchweek 37,Mon,Away,L,0,2,Wolves,47,556,49,185,273,102,13,556,8,14,57.1,16,12,347,18,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Tottenham,48,588,32,155,292,151,24,588,8,16,50.0,12,18,374,26,Match Report
40,,,,,,11-10-17,31,50,,44.8,20833,2395,7284,8983,4817,789,20830,432,698,61.9,611,479,12121,896,
