,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,1,0,Newcastle Utd,1,18,9,50.0,0.06,0.11,16.8,2,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Away,W,1,0,Brighton,1,12,3,25.0,0.08,0.33,10.8,0,0,0,2.5,2.5,0.21,-1.5,-1.5,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,W,1,0,Watford,1,10,3,30.0,0.10,0.33,18.3,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Away,W,2,0,Bournemouth,2,7,2,28.6,0.29,1.00,18.5,1,0,0,0.8,0.8,0.11,+1.2,+1.2,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Away,L,0,4,Liverpool,0,3,0,0.0,0.00,,29.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Home,L,0,1,Burnley,0,17,4,23.5,0.00,0.00,18.2,2,0,0,0.9,0.9,0.05,-0.9,-0.9,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,0,3,Leicester City,0,7,1,14.3,0.00,0.00,15.6,1,0,0,0.8,0.8,0.11,-0.8,-0.8,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Home,L,2,3,Chelsea,2,13,4,30.8,0.15,0.50,17.8,0,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Away,L,0,2,Aston Villa,0,9,5,55.6,0.00,0.00,12.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,L,0,2,Manchester Utd,0,13,5,38.5,0.00,0.00,19.9,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
38,2020-07-20,20:15 (21:15),Matchweek 37,Mon,Away,L,0,2,Wolves,0,7,3,42.9,0.00,0.00,19.7,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Tottenham,1,13,2,15.4,0.08,0.50,13.8,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report
40,,,,,,11-10-17,31,50,,29,373,115,30.8,0.07,0.23,17.0,15,3,3,35.8,33.6,0.09,-6.8,-7.6,
