,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
29,2020-03-09,20:00 (22:00),Matchweek 29,Mon,Away,L,0,4,Leicester City,0,4,1,25.0,0.00,0.00,15.4,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,0,14,6,42.9,0.00,0.00,10.0,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Home,L,1,2,Chelsea,1,8,4,50.0,0.13,0.25,15.0,1,0,0,1.0,1.0,0.15,0.0,0.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,1,14,2,14.3,0.07,0.50,18.3,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
33,2020-06-27,12:30 (13:30),Matchweek 32,Sat,Home,L,0,1,Wolves,0,11,1,9.1,0.00,0.00,15.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Away,L,0,2,Liverpool,0,9,3,33.3,0.00,0.00,18.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Home,L,0,3,Manchester Utd,0,9,1,11.1,0.00,0.00,20.4,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Home,W,2,0,Crystal Palace,2,12,9,75.0,0.17,0.22,18.5,1,0,0,1.7,1.7,0.15,+0.3,+0.3,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Away,D,1,1,Everton,1,15,1,6.7,0.07,1.00,18.7,1,0,0,1.3,1.3,0.09,-0.3,-0.3,Match Report
38,2020-07-21,20:15 (21:15),Matchweek 37,Tue,Home,W,1,0,Arsenal,1,8,3,37.5,0.13,0.33,17.9,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,D,1,1,West Ham,1,13,4,30.8,0.08,0.25,16.7,1,0,0,1.0,1.0,0.08,0.0,0.0,Match Report
40,,,,,,9-8-21,41,67,,40,453,147,32.5,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,
