,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Away,W,2,1,Aston Villa,73,835,50,183,368,287,35,835,5,8,62.5,8,5,625,60,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Home,W,2,1,Manchester City,35,498,101,240,179,88,30,497,10,12,83.3,7,5,327,13,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Away,L,2,3,West Ham,71,812,46,182,393,241,40,811,11,19,57.9,11,8,605,42,Match Report
34,2020-07-04,20:00 (21:00),Matchweek 33,Sat,Home,W,3,0,Watford,70,880,56,211,458,218,31,879,7,13,53.8,14,18,682,38,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Away,W,3,2,Crystal Palace,57,721,71,250,338,138,25,721,13,22,59.1,14,10,476,26,Match Report
36,2020-07-11,17:30 (18:30),Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,76,953,62,259,480,215,19,953,6,8,75.0,12,5,754,42,Match Report
37,2020-07-14,20:15 (21:15),Matchweek 36,Tue,Home,W,1,0,Norwich City,67,914,39,171,479,270,43,914,12,18,66.7,12,9,715,53,Match Report
38,2020-07-22,20:15 (21:15),Matchweek 37,Wed,Away,L,3,5,Liverpool,50,719,75,282,322,124,14,719,11,19,57.9,18,11,502,29,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,2,0,Wolves,62,786,65,245,401,148,18,786,8,15,53.3,21,15,548,33,Match Report
40,,,,,,20-6-12,69,54,,60.4,29409,2285,8316,13980,7362,1059,29402,460,718,64.1,583,414,20797,1280,
