,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
52,51,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,15,1158,77,33.9,12.9,13,88,10,2,9,5,1.47,20,18,+2,+0.16,-0.08,15.5,20.4,-4.9,-0.38,-0.25,Matches
53,52,Filip Benković,hr CRO,DF,Leicester City,22,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
54,53,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,606,55,17.7,6.7,7,74,5,4,22,5,1.45,6,9,-3,-0.45,-0.89,7.1,8.6,-1.6,-0.23,-0.80,Matches
55,54,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,331,66,9.7,3.7,3,70,1,2,61,2,1.40,6,8,-2,-0.54,-1.36,7.3,5.6,+1.7,+0.47,+0.03,Matches
56,55,Josh Benson,eng ENG,MF,Burnley,19,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
57,56,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,751,63,22.0,8.3,8,84,6,4,20,2,0.83,7,16,-9,-1.08,-0.71,7.0,14.4,-7.4,-0.88,-0.12,Matches
58,57,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,1261,53,36.9,14.0,13,86,6,11,13,3,1.21,11,18,-7,-0.50,0.00,14.8,23.7,-8.9,-0.64,-0.13,Matches
59,58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,621,52,18.2,6.9,6,74,1,6,30,3,1.08,11,7,+4,+0.58,+0.93,11.0,7.4,+3.6,+0.52,+0.71,Matches
60,59,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,943,67,27.6,10.5,12,75,5,2,23,0,1.50,11,11,0,0.00,0.00,9.3,11.8,-2.5,-0.24,-0.05,Matches
61,60,Steven Bergwijn,nl NED,"MF,FW",Tottenham,21,1997,14,704,50,20.6,7.8,8,73,2,6,20,0,1.79,11,9,+2,+0.26,-0.14,9.5,13.8,-4.3,-0.55,-0.49,Matches
62,61,Bernard,br BRA,MF,Everton,26,1992,27,1280,47,37.4,14.2,15,68,3,12,22,6,1.30,14,12,+2,+0.14,+0.73,18.3,13.8,+4.5,+0.32,+0.40,Matches
63,62,Bernardo,br BRA,"DF,MF",Brighton,24,1995,14,679,49,19.9,7.5,7,80,4,7,17,9,1.00,6,17,-11,-1.46,-1.33,8.3,11.5,-3.3,-0.43,-0.23,Matches
64,63,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,2742,86,80.2,30.5,31,87,29,1,45,2,1.38,43,44,-1,-0.03,+1.03,45.5,38.6,+6.9,+0.23,+0.71,Matches
65,64,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,250,28,7.3,2.8,2,76,0,7,14,14,1.56,1,2,-1,-0.36,-0.39,4.1,4.2,0.0,-0.02,+0.21,Matches
66,65,Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,2530,74,74.0,28.1,29,82,19,5,30,1,0.97,31,41,-10,-0.36,+1.16,33.4,45.3,-11.9,-0.42,+0.14,Matches
67,66,Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,1259,57,36.8,14.0,15,76,4,7,17,7,1.05,8,18,-10,-0.71,-0.51,13.8,21.4,-7.6,-0.54,-0.46,Matches
68,67,Willy Boly,ci CIV,DF,Wolves,28,1991,22,1979,90,57.9,22.0,22,90,21,0,,1,1.64,26,15,+11,+0.50,+0.50,28.3,21.1,+7.2,+0.33,-0.23,Matches
69,68,Gaëtan Bong,cm CMR,"DF,MF",Brighton,31,1988,4,59,15,1.7,0.7,0,,0,4,15,0,1.25,0,3,-3,-4.58,-4.25,0.7,1.9,-1.3,-1.92,-1.70,Matches
70,69,Artur Boruc,pl POL,GK,Bournemouth,39,1980,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
71,70,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,20,764,38,22.3,8.5,8,72,1,12,16,7,0.95,10,17,-7,-0.82,-0.76,15.1,14.2,+0.9,+0.10,+0.02,Matches
72,71,Jarrod Bowen,eng ENG,MF,West Ham,22,1996,13,917,71,26.8,10.2,11,82,4,2,9,0,1.15,15,13,+2,+0.20,+0.74,17.0,11.3,+5.7,+0.56,+1.31,Matches
73,72,Robbie Brady,ie IRL,MF,Burnley,27,1992,17,454,27,13.3,5.0,5,64,0,12,11,13,1.00,7,10,-3,-0.59,-0.47,7.4,8.0,-0.6,-0.12,-0.07,Matches
74,73,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,300,75,8.8,3.3,2,90,2,2,60,5,1.00,3,6,-3,-0.90,-0.64,3.2,4.9,-1.7,-0.51,-0.63,Matches
75,74,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,347,87,10.1,3.9,3,90,3,1,77,27,1.50,7,7,0,0.00,-1.96,5.4,5.7,-0.3,-0.09,-1.73,Matches
76,75,Rhian Brewster,eng ENG,FW,Liverpool,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
77,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
78,76,Armando Broja,al ALB,FW,Chelsea,17,2001,1,5,5,0.1,0.1,0,,0,1,5,0,3.00,0,0,0,0.00,-0.40,0.0,0.0,0.0,+0.46,-0.35,Matches
79,77,David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,9,506,56,14.8,5.6,8,61,0,1,22,0,0.78,6,12,-6,-1.07,-0.48,5.0,7.5,-2.5,-0.45,+0.01,Matches
80,78,Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,805,81,23.5,8.9,9,89,8,1,1,3,1.80,8,10,-2,-0.22,-0.05,7.8,11.5,-3.7,-0.41,-0.46,Matches
81,79,Emi Buendía,ar ARG,MF,Norwich City,22,1996,36,2464,68,72.0,27.4,28,83,19,8,16,0,0.58,21,52,-31,-1.13,+0.56,28.6,45.6,-17.0,-0.62,+0.56,Matches
82,80,Dan Burn,eng ENG,DF,Brighton,27,1992,34,2880,85,84.2,32.0,33,87,31,1,13,0,1.15,32,42,-10,-0.31,+0.52,37.6,45.5,-7.9,-0.25,+0.04,Matches
83,81,David Button,eng ENG,GK,Brighton,30,1989,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
84,82,Oskar Buur,dk DEN,"DF,MF",Wolves,21,1998,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
85,83,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,1293,76,37.8,14.4,15,84,13,2,13,9,0.94,15,23,-8,-0.56,+1.18,17.2,21.2,-4.0,-0.28,+0.79,Matches
86,84,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,450,90,13.2,5.0,5,90,5,0,,33,1.60,8,7,+1,+0.20,-0.22,6.6,3.8,+2.8,+0.56,-0.28,Matches
87,85,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,2167,87,63.4,24.1,25,87,24,0,,2,1.16,20,35,-15,-0.62,-0.34,22.9,37.8,-14.9,-0.62,-0.17,Matches
88,86,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,2626,73,76.8,29.2,30,84,20,6,18,2,1.28,36,43,-7,-0.24,+0.33,40.3,38.4,+1.9,+0.06,-0.01,Matches
89,87,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,1,6,6,0.2,0.1,0,,0,1,6,10,0.00,0,0,0,0.00,+0.50,0.2,0.1,+0.1,+1.65,+2.21,Matches
90,88,Leonardo Campana,ec ECU,FW,Wolves,19,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
91,89,João Cancelo,pt POR,DF,Manchester City,25,1994,17,1208,71,35.3,13.4,13,87,12,4,21,17,2.18,35,11,+24,+1.79,+0.04,32.5,11.0,+21.5,+1.60,+0.21,Matches
92,90,Todd Cantwell,eng ENG,MF,Norwich City,21,1998,37,2489,67,72.8,27.7,30,79,9,7,16,0,0.57,18,54,-36,-1.30,-0.05,26.2,49.2,-23.1,-0.83,-0.22,Matches
93,91,Étienne Capoue,fr FRA,MF,Watford,31,1988,30,2627,88,76.8,29.2,30,88,25,0,,0,1.00,29,48,-19,-0.65,+0.37,37.4,43.7,-6.3,-0.22,+0.12,Matches
94,92,Gonçalo Cardoso,pt POR,DF,West Ham,18,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
95,93,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,632,33,18.5,7.0,4,85,3,15,19,2,1.53,9,10,-1,-0.14,+0.47,6.6,13.3,-6.8,-0.97,-0.22,Matches
96,94,Scott Carson,eng ENG,GK,Manchester City,33,1985,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
97,95,Jonny Castro,es ESP,"MF,DF",Wolves,25,1994,35,2887,82,84.4,32.1,33,87,27,2,12,1,1.57,42,35,+7,+0.22,-0.46,43.8,33.0,+10.8,+0.34,-0.56,Matches
98,96,Craig Cathcart,nir NIR,DF,Watford,30,1989,29,2488,86,72.7,27.6,28,87,26,1,45,7,0.90,25,37,-12,-0.43,+1.11,32.7,36.9,-4.2,-0.15,+0.33,Matches
99,97,Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,1692,71,49.5,18.8,18,80,6,6,42,4,1.75,29,21,+8,+0.43,+0.43,21.6,27.4,-5.7,-0.30,-0.17,Matches
100,98,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,930,42,27.2,10.3,10,78,4,12,13,13,1.14,11,14,-3,-0.29,+0.61,13.7,17.1,-3.4,-0.33,-0.12,Matches
101,99,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,1102,79,32.2,12.2,13,81,11,1,45,5,1.29,16,15,+1,+0.08,-0.19,15.2,11.9,+3.3,+0.27,+0.72,Matches
102,100,James Chester,wls WAL,DF,Aston Villa,30,1989,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
103,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
104,101,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,2373,88,69.4,26.4,27,88,25,0,,1,1.67,48,26,+22,+0.83,+0.49,41.4,33.7,+7.7,+0.29,-0.49,Matches
105,102,Tahith Chong,nl NED,"MF,DF",Manchester Utd,19,1999,3,37,12,1.1,0.4,0,,0,3,12,4,2.00,0,0,0,0.00,-0.80,0.6,0.1,+0.5,+1.19,+0.55,Matches
106,103,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,20,893,45,26.1,9.9,10,76,4,10,13,9,1.60,16,12,+4,+0.40,-0.38,11.4,9.9,+1.5,+0.15,-0.39,Matches
107,104,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,1751,83,51.2,19.5,21,83,18,0,,14,1.62,37,33,+4,+0.21,-0.39,36.3,21.7,+14.7,+0.75,-0.11,Matches
108,105,Dennis Cirken,eng ENG,DF,Tottenham,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
109,106,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,1186,85,34.7,13.2,14,85,11,0,,4,1.64,13,14,-1,-0.08,+0.69,10.4,24.1,-13.8,-1.04,-0.39,Matches
110,107,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,2,35,18,1.0,0.4,0,,0,2,18,2,0.00,0,2,-2,-5.14,-5.20,0.6,1.7,-1.2,-2.99,-2.81,Matches
111,108,Tom Cleverley,eng ENG,MF,Watford,29,1989,18,971,54,28.4,10.8,11,78,8,7,16,2,0.67,7,26,-19,-1.76,-1.43,13.2,21.4,-8.2,-0.76,-0.71,Matches
112,109,Conor Coady,eng ENG,DF,Wolves,26,1993,38,3420,90,100.0,38.0,38,90,38,0,,0,1.55,51,40,+11,+0.29,,54.1,38.0,+16.1,+0.42,,Matches
113,110,Alex Cochrane,eng ENG,"DF,MF",Brighton,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
114,111,Séamus Coleman,ie IRL,DF,Everton,30,1988,27,1839,68,53.8,20.4,21,81,15,6,24,6,1.30,19,28,-9,-0.44,-0.27,24.6,28.3,-3.8,-0.18,-0.54,Matches
115,112,Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,1258,52,36.8,14.0,14,72,0,10,26,4,1.13,17,22,-5,-0.36,+0.06,17.9,19.4,-1.5,-0.11,+0.23,Matches
116,113,Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,27,1352,50,39.5,15.0,14,81,8,13,17,7,0.81,18,30,-12,-0.80,-0.23,18.0,25.4,-7.4,-0.49,-0.06,Matches
117,114,Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,2428,84,71.0,27.0,28,85,25,1,51,3,0.83,30,47,-17,-0.63,+0.10,32.7,44.4,-11.7,-0.43,+0.09,Matches
118,115,Jack Cork,eng ENG,MF,Burnley,30,1989,30,2613,87,76.4,29.0,30,87,24,0,,0,1.40,31,41,-10,-0.34,-0.68,36.1,38.3,-2.2,-0.07,-0.05,Matches
119,116,Conor Coventry,ie IRL,MF,West Ham,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
120,117,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,2727,88,79.7,30.3,31,88,28,0,,0,0.97,41,51,-10,-0.33,+0.06,38.7,49.6,-10.9,-0.36,+0.20,Matches
121,118,Luke Cundle,eng ENG,MF,Wolves,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
122,119,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,297,25,8.7,3.3,3,65,0,9,11,8,1.67,6,6,0,0.00,-0.32,5.5,6.2,-0.7,-0.22,-0.71,Matches
123,120,Bernardo Costa Da Rosa,br BRA,DF,West Ham,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
124,121,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,4,67,17,2.0,0.7,1,59,0,3,3,4,1.00,0,1,-1,-1.34,-2.18,1.2,1.1,+0.1,+0.17,-0.49,Matches
125,122,James Daly,eng ENG,FW,Crystal Palace,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
126,123,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,126,63,3.7,1.4,2,63,1,0,,1,1.50,2,2,0,0.00,+0.68,1.8,2.8,-1.1,-0.76,-0.31,Matches
127,124,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,1266,79,37.0,14.1,14,88,13,2,19,15,1.13,10,14,-4,-0.28,+0.34,14.8,19.8,-5.0,-0.35,+0.32,Matches
128,125,Kevin Danso,at AUT,DF,Southampton,20,1998,6,277,46,8.1,3.1,3,69,1,3,23,16,0.83,3,8,-5,-1.62,-1.51,3.8,6.5,-2.7,-0.89,-1.06,Matches
129,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
130,126,Karl Darlow,eng ENG,GK,Newcastle Utd,28,1990,0,,,,,0,,0,0,,37,,,,,,,,,,,,Matches
131,127,Ben Davies,wls WAL,DF,Tottenham,26,1993,18,1431,80,41.8,15.9,16,88,13,2,9,6,1.61,24,19,+5,+0.31,-0.09,19.2,21.2,-2.0,-0.12,+0.07,Matches
132,128,Tom Davies,eng ENG,MF,Everton,21,1998,30,2027,68,59.3,22.5,23,83,16,7,16,6,1.33,21,34,-13,-0.58,-0.64,25.8,31.5,-5.7,-0.25,-0.79,Matches
